time_s,charge_current_a,soc,terminal_voltage_v,average_temperature_c,control_mode,optimizer_success,prediction_feasible,used_fallback,safety_override,target_current_cap_active,solve_time_s,predicted_maximum_voltage_v,predicted_maximum_temperature_c,source
0.0,0.0,0.1,3.2959070147319616,25.0,initial,True,True,False,False,False,0.0,,,reduced_model
5.0,2.0,0.10055555555555556,3.3455056002961303,25.007004458575764,startup_reference_governor,True,True,False,False,False,0.0,3.3455056002961303,25.007004458575764,reduced_model
10.0,4.0,0.10166666666666667,3.4008262851352056,25.036521470261302,startup_reference_governor,True,True,False,False,False,0.0,3.4008262851352056,25.036521470261302,reduced_model
15.0,6.0,0.10333333333333333,3.4609603507892244,25.10579414910854,startup_reference_governor,True,True,False,False,False,0.0,3.4609603507892244,25.10579414910854,reduced_model
20.0,8.0,0.10555555555555556,3.5252111828954265,25.23330447420296,startup_reference_governor,True,True,False,False,False,0.0,3.5252111828954265,25.23330447420296,reduced_model
25.0,8.126906749398541,0.1078130296526107,3.546614347624025,25.37307003385819,thermal_budget_mpc,True,True,False,False,False,1.3063939999992726,3.789683053214414,32.401854062303435,reduced_model
30.0,8.094954201833206,0.11006162804200882,3.561925986397204,25.51853186769563,thermal_budget_mpc,True,True,False,False,False,1.471996999998737,3.791666677310562,32.4484879512332,reduced_model
35.0,8.019847026709623,0.11228936332720595,3.5741015109606398,25.666727230519122,thermal_budget_mpc,True,True,False,False,False,0.6368185000010271,3.890782254410948,33.26890291831141,reduced_model
40.0,8.005096768349686,0.11451300131841419,3.5860588878976247,25.81840950358702,thermal_budget_mpc,True,True,False,False,False,0.9257469000003766,3.868157497957884,33.50000007675922,reduced_model
45.0,8.004841025291357,0.116736568269884,3.597209017133443,25.97323804222036,thermal_budget_mpc,True,True,False,False,False,0.4498379999986355,3.8654839473511906,33.500000000686526,reduced_model
50.0,8.004623473966559,0.11896007479043028,3.6074897875629452,26.130605005316,thermal_budget_mpc,True,True,False,False,False,0.44946040000104404,3.86288265775039,33.500000012154594,reduced_model
55.0,8.004286204338495,0.12118348762496875,3.617082222403205,26.29003455867062,thermal_budget_mpc,True,True,False,False,False,0.4702723000009428,3.8603229767448957,33.50000000266228,reduced_model
