time_s,charge_current_a,soc,terminal_voltage_v,average_temperature_c,control_mode,optimizer_success,prediction_feasible,used_fallback,safety_override,target_current_cap_active,solve_time_s,predicted_maximum_voltage_v,predicted_maximum_temperature_c,source
0.0,0.0,0.1,3.2959070147319616,25.0,initial,True,True,False,False,False,0.0,,,chen2020_dfn
5.0,2.0,0.10055555555555556,3.383427139926927,25.017596866556573,startup_reference_governor,True,True,False,False,False,0.0,3.3455056002961303,25.007004458575764,chen2020_dfn
10.0,4.0,0.10166666666666667,3.4522414960719776,25.076322436697637,startup_reference_governor,True,True,False,False,False,0.0,3.4008262851352056,25.047046029828035,chen2020_dfn
15.0,6.0,0.10333333333333333,3.515135001883304,25.192186091537963,startup_reference_governor,True,True,False,False,False,0.0,3.4609603507892244,25.145340176066632,chen2020_dfn
20.0,8.0,0.10555555555555556,3.576629340072072,25.379215939234655,startup_reference_governor,True,True,False,False,False,0.0,3.5252111828954265,25.31914304664848,chen2020_dfn
25.0,8.217601638178444,0.10783822267727179,3.603947096816536,25.579031833873103,thermal_budget_mpc,True,True,False,False,False,1.186094900000171,3.8202467381092586,32.71757929324382,chen2020_dfn
30.0,8.049800805172833,0.11007427845648646,3.620410629523909,25.776436529552427,thermal_budget_mpc,True,True,False,False,False,1.042072399999597,3.822960290526575,32.622095144989295,chen2020_dfn
35.0,7.915824569401767,0.11227311861465362,3.633861957019562,25.97167680740023,thermal_budget_mpc,True,True,False,False,False,1.8893805999996403,3.883697558634223,33.24850873095019,chen2020_dfn
40.0,8.0,0.11449534083687585,3.648691299812082,26.17228914554437,startup_reference_governor,True,True,False,False,False,0.0,3.585715579345441,26.121108163707284,chen2020_dfn
45.0,8.011250669624687,0.11672068824510493,3.6605423342021277,26.374886249123108,thermal_budget_mpc,True,True,False,False,False,0.8672521999997116,3.889219141893388,33.45919622587858,chen2020_dfn
50.0,8.018400630068697,0.11894802175345734,3.670703342769268,26.57870113823151,thermal_budget_mpc,True,True,False,False,False,1.0152135000007547,3.892215392736777,33.499624832439345,chen2020_dfn
55.0,8.00394009360816,0.12117133844612626,3.679115949469836,26.78234258062031,thermal_budget_mpc,True,True,False,False,False,0.9420525999994425,3.8488930658204117,33.500000014386444,chen2020_dfn
60.0,8.003543560832702,0.12339454499080202,3.6865939364393707,26.985903610625883,thermal_budget_mpc,True,True,False,False,False,0.545680800001719,3.8431490216786184,33.500000000956746,chen2020_dfn
65.0,8.003109531318408,0.1256176309717238,3.6931340579308447,27.18900966663034,thermal_budget_mpc,True,True,False,False,False,0.6617760999997699,3.8374084603448666,33.50000007353314,chen2020_dfn
70.0,8.067144460655435,0.127858504433017,3.7000294516794696,27.393947013388924,thermal_budget_mpc,True,True,False,False,False,4.188575500000297,3.8358433358084563,33.50000006949961,chen2020_dfn
75.0,7.980274015507863,0.1300752472151025,3.7038357291888087,27.59449631170247,thermal_budget_mpc,True,True,False,False,False,1.3800925000014104,3.835962237868239,33.486128153602166,chen2020_dfn
80.0,8.0,0.13229746943732473,3.7087169919023526,27.794632062424512,startup_reference_governor,True,True,False,False,False,0.0,3.658547967405139,27.755763950547227,chen2020_dfn
85.0,8.001319026192323,0.13452005805571146,3.7129449424850747,27.9935175366914,thermal_budget_mpc,True,True,False,False,False,0.974245699999301,3.8151986156114153,33.500000060608315,chen2020_dfn
90.0,8.053437348986268,0.13675712398598544,3.717716847505283,28.193090558782274,thermal_budget_mpc,False,True,False,False,False,4.554491900000357,3.8144530748635943,33.49460366688066,chen2020_dfn
95.0,7.982118138449222,0.13897437902444354,3.7202430549449055,28.388383491146215,thermal_budget_mpc,True,True,False,False,False,3.2317828000013833,3.817974093013987,33.46581845659826,chen2020_dfn
100.0,8.0,0.14119660124666578,3.723870134029011,28.58284442148738,startup_reference_governor,True,True,False,False,False,0.0,3.6872847733870024,28.551122681452924,chen2020_dfn
105.0,8.000093707458664,0.14341884949873762,3.7270841749554933,28.775711053711177,thermal_budget_mpc,True,True,False,False,False,0.8654741999998805,3.8018195269352812,33.50000000442812,chen2020_dfn
110.0,8.358952568209334,0.14574078076768465,3.7362272190017936,28.981509451993873,thermal_budget_mpc,True,True,False,False,False,3.4092380000001867,3.801309126616217,33.500000023332824,chen2020_dfn
115.0,7.94236315307515,0.14794699275464995,3.7330702709622328,29.169341741052335,thermal_budget_mpc,True,True,False,False,False,1.612879399999656,3.8030637505491236,33.494932778822175,chen2020_dfn
120.0,8.0,0.1501692149768722,3.7365803399858106,29.357665603131693,startup_reference_governor,True,True,False,False,False,0.0,3.714097824987909,29.33281931963235,chen2020_dfn
125.0,7.9015575095479305,0.15236409206285773,3.7376043024686814,29.540505236664274,thermal_budget_mpc,True,True,False,False,False,3.4388097999999445,3.8019332757303568,33.50000004720228,chen2020_dfn
130.0,8.0,0.15458631428507996,3.7417046208826776,29.725554345139585,startup_reference_governor,True,True,False,False,False,0.0,3.7259530275611086,29.70373465962894,chen2020_dfn
135.0,7.5013920978331665,0.15667003431225585,3.7357849998415262,29.88963032303144,thermal_budget_mpc,True,True,False,False,False,0.6322845000013331,3.7889294431736835,33.50000009712084,chen2020_dfn
