role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_000,15.0,True,1105.0,4.186651300834038,21.687853794500825,0.0926454205443936,7.102279166913201,1.0356907276500085,0,0.0262229536968652,0,0,0,0,0,0.49321266968325794,0.0,0.0,0.82247539697366,0.0,0,0,0.039768399998127694
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_001,15.0,True,1220.0,4.1865921935189325,23.43632127336372,0.0893065411098779,8.000652616602096,0.565888706532542,0,0.0193442815779034,0,0,0,0,0,0.4672131147540984,0.0,0.0,0.7955828523323136,0.0,0,0,0.04254429998762767
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_002,15.0,True,1275.0,4.186507996373241,24.680310539420248,0.0919809278295935,8.671612486312304,1.3907854488919522,0,0.0138216385048757,0,0,0,0,0,0.4588235294117647,0.0,0.0,0.764981675038265,0.0,0,0,0.044231299973022664
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_003,15.0,True,1060.0,4.186777423701711,21.06984787639243,0.0930693541337879,6.5764397051572505,1.132958760834529,0,0.0232463384058654,0,0,0,0,0,0.4858490566037736,0.0,0.0,0.8181099195234109,0.0,0,0,0.03736200000638622
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_004,15.0,True,1325.0,4.186492854458108,25.63318728334616,0.0900409962846655,8.947394408760882,0.7482000244017541,0,0.0141765661230763,0,0,0,0,0,0.44150943396226416,0.0,0.0,0.7328398819103796,0.0,0,0,0.04622560001370153
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_005,15.0,True,1120.0,4.186523175815155,21.93428742313989,0.0895713138156244,7.4635499025854575,1.1642159103450975,0,0.0248161615342148,0,0,0,0,0,0.5,0.0,0.0,0.8267949536359955,0.0,0,0,0.042410100009863366
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_006,15.0,True,1265.0,4.186506066413115,24.507232725603277,0.0921519056894246,8.59322291719321,1.3911634401184705,0,0.0200132764722145,0,0,0,0,0,0.466403162055336,0.0,0.0,0.7706702292436836,0.0,0,0,0.04655529995578707
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_007,15.0,True,995.0,4.186587564567748,20.38297910789214,0.0890948998043401,6.550109031314394,2.0,0,0.0289980357926995,0,0,0,0,0,0.5025125628140703,0.0,0.0,0.8356232547866673,0.0,0,0,0.03779439997741841
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_008,15.0,True,1220.0,4.186578688965749,23.531230293743818,0.0925106304148064,8.080103775594054,1.9198962244059457,0,0.026591440211475,0,0,0,0,0,0.4713114754098361,0.0,0.0,0.7941554908933135,0.0,0,0,0.04550570005811745
confirmation_a_seed_101,phase7cr3t2_confirmation_15c_009,15.0,True,1110.0,4.186783791697662,21.656677847890307,0.0929434083206333,6.776883861095882,0.3208151581408547,0,0.0110021589742963,0,0,0,0,0,0.4774774774774775,0.0,0.0,0.8155115056628635,0.0,0,0,0.04128890002174354
