repetition,seed,ann_total_mean_ms,end_to_end_speedup
a,22,0.27075963723909857,154.63644045373516
a,42,0.27846720767012983,150.3563269496237
a,73,0.27188820942579534,153.99456493396016
a,101,0.277951372425,150.63536530116056
a,137,0.28253979244955185,148.189060939707
b,22,0.2836341414236051,147.61730132716062
b,42,0.27800262675540277,150.60759320823612
b,73,0.2951734290428912,141.84646177998238
b,101,0.28655615047539085,146.11204977362542
b,137,0.2723234604232961,153.7484374505145
