temperature_c,controller_kind,seed,trajectory_id,maximum_voltage_v,maximum_average_temperature_c,maximum_voltage_residual_v,p95_voltage_residual_v,p99_voltage_residual_v,maximum_positive_residual_growth_v,voltage_intervention_fraction,maximum_current_correction_a,mean_active_current_correction_a,first_intervention_soc,minimum_voltage_slew_feasibility_margin_a,empty_interval_count,target_reached,discrete_arrival_time_s,continuous_arrival_time_s,cumulative_charge_ah,direction_reversals,mean_base_decision_time_ms,mean_safety_layer_time_ms
15.0,mpc,-1,phase7c_15c_000,4.189031380336154,20.98249445306732,0.0346586016110421,0.03459683785934198,0.03465535044579237,0.0082955802429012,0.5,0.7998184389873404,0.6137241979892156,0.6773666338028937,1.9044413447700208,0,True,1030.0,1025.2975243674205,0.8235344469662866,0,55.9084330096225,0.19368543663284093
15.0,mpc,-1,phase7c_15c_001,4.189145302142117,23.47790203674685,0.0320309679273043,0.03192348805702183,0.032025146910752283,0.0022658889048416,0.4666666666666667,0.7469899333424848,0.5677529916010459,0.6640313674538769,1.9301975705020595,0,True,1200.0,1195.9329483783922,1.1360205664375664,0,57.22219958318719,0.18693208333686753
15.0,mpc,-1,phase7c_15c_002,4.1898916840069695,18.82301857715373,0.0310950975720345,0.0310426457705617,0.03109152388651864,0.0062577494819349,0.40993788819875776,0.7559639408159908,0.5351280829112967,0.7218187304310156,1.90558948731632,0,True,805.0,802.1496861461671,0.5109935259201026,0,60.38208757758553,0.19553229806582487
15.0,mpc,-1,phase7c_15c_003,4.188989750162575,29.10406961291756,0.0242001640863716,0.02403029961516651,0.02419325746666772,0.0095478157984896,0.3680555555555556,0.5620830882231038,0.40981866033860254,0.6646445184811216,1.9518903659918576,0,True,1440.0,1436.0116866716753,1.7317219587744068,0,46.34986979160906,0.15415763871508487
15.0,mpc,-1,phase7c_15c_004,4.188918965548799,23.325254533382576,0.0327598416205461,0.03266548754011197,0.032754767652652006,0.0020917936750262,0.49361702127659574,0.755874272487917,0.5706841609361476,0.658427514241051,1.923988029040629,0,True,1175.0,1173.5526311188353,1.1066647076809117,0,47.657681276719536,0.1695412768117441
15.0,mpc,-1,phase7c_15c_005,4.189049840153719,26.239455708986043,0.0289189563186047,0.02878740145187116,0.028912792017975336,0.0073492253657931,0.4296577946768061,0.6705145759797517,0.5019295251648304,0.6588077336648932,1.94139784379513,0,True,1315.0,1312.0489901726194,1.4191989132280842,0,41.80382395413489,0.14575969596798638
15.0,mpc,-1,phase7c_15c_006,4.189235760204968,20.744434333616997,0.0337204433114308,0.0336413489811495,0.03371556691303321,0.0113871030773613,0.4827586206896552,0.7930705913730867,0.6002046195791025,0.6839702275939749,1.9128005612146808,0,True,1015.0,1011.4277692558245,0.7942127672215709,0,44.49271871906178,0.15028423678154665
15.0,mpc,-1,phase7c_15c_007,4.189059864262967,27.601067973857027,0.026769551403051,0.02661284662059876,0.026763117412608204,0.0049103544904225,0.3971119133574007,0.6219052112244667,0.4594574931631377,0.6614181829954171,1.946900926006492,0,True,1385.0,1383.4909956059214,1.5754161286128243,0,39.36288989176242,0.14092238240203417
15.0,mpc,-1,phase7c_15c_008,4.189373794251583,21.842990658832548,0.0323979116164299,0.032305472903321746,0.03239201265397481,0.0070809475870117,0.4594594594594595,0.7710377174147593,0.5847230581502396,0.6796579007457332,1.9285691753175345,0,True,1110.0,1106.8529107902718,0.9504533024711247,0,43.22677792781075,0.14682207207388767
15.0,mpc,-1,phase7c_15c_009,4.188998956188728,24.749078852935952,0.0310061849411455,0.030890351053228356,0.031000453545376398,0.0061268801812097,0.464,0.7172840247816401,0.5386660319527172,0.6570120863753451,1.9336952996236505,0,True,1250.0,1246.7773396813714,1.262954991820391,0,42.51444079959761,0.1480004001350116
