trajectory_id,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_core_temperature_c,state_surface_temperature_c,state_previous_current_a,state_ambient_temperature_c,split,teacher_accepted,completed_step_count,rejection_reason,mean_teacher_solve_time_s,maximum_teacher_solve_time_s
phase6r_ic_0000,0.10135416666666668,0.045,0.03,26.68,26.2,0.9090909090909092,25.0,test,True,8,,0.577339524999843,1.022047799997381
phase6r_ic_0001,0.1040625,0.0225,0.06,28.36,27.4,1.8181818181818183,25.0,train,True,8,,0.6240311874980762,1.0938989999995101
phase6r_ic_0002,0.10677083333333334,0.0675,0.009999999999999998,30.04,28.599999999999998,2.727272727272727,25.0,train,True,8,,0.400397262500519,1.0070645999949193
phase6r_ic_0003,0.10947916666666667,0.01125,0.039999999999999994,31.72,29.799999999999997,3.6363636363636367,25.0,validation,True,8,,0.40577972500250326,0.9136194000020623
phase6r_ic_0004,0.11218750000000001,0.056249999999999994,0.06999999999999999,25.336,31.0,4.545454545454546,25.0,train,True,8,,0.37447968750075233,0.808023300000059
phase6r_ic_0005,0.11489583333333334,0.03375,0.019999999999999997,27.016,32.199999999999996,5.454545454545454,25.0,validation,True,8,,0.41820197499964706,0.8452700999987428
phase6r_ic_0006,0.11760416666666668,0.07875,0.05,28.695999999999998,25.17142857142857,6.363636363636363,25.0,validation,True,8,,0.40784891250041255,0.8844788999995217
phase6r_ic_0007,0.1203125,0.005625,0.07999999999999999,30.376,26.37142857142857,7.272727272727273,25.0,train,True,8,,0.4791214499991838,1.3740498999977717
phase6r_ic_0008,0.12302083333333334,0.050624999999999996,0.003333333333333333,32.056,27.57142857142857,8.181818181818182,25.0,train,True,8,,0.30869082499884826,0.6134052999987034
phase6r_ic_0009,0.12572916666666667,0.028124999999999997,0.03333333333333333,25.672,28.771428571428572,9.090909090909092,25.0,train,True,8,,0.3922734874977323,0.9454568000001018
