controller,seed_count,train_nrmse_mean,train_nrmse_std,train_nrmse_best,train_maximum_absolute_error_a_mean,train_maximum_absolute_error_a_std,train_maximum_absolute_error_a_best,validation_nrmse_mean,validation_nrmse_std,validation_nrmse_best,validation_maximum_absolute_error_a_mean,validation_maximum_absolute_error_a_std,validation_maximum_absolute_error_a_best,test_nrmse_mean,test_nrmse_std,test_nrmse_best,test_maximum_absolute_error_a_mean,test_maximum_absolute_error_a_std,test_maximum_absolute_error_a_best,passing_test_seed_count
five_state_pure,3,0.004654447503394687,0.00028784988121902013,0.004439243333263954,0.2446645962203231,0.027709112785019113,0.21347340654729585,0.008902771068359546,0.0004236239010035854,0.008472373789584943,0.4621171815290479,0.04791881550701264,0.41330373694281164,0.012571818442494012,0.0019688001477485995,0.011004622931883347,1.3232539882334533,0.4653468165379692,0.9637537149879472,0
full_state_pure,3,0.004111866555268482,0.00036431546845548066,0.003890774757703677,0.2673387583048754,0.08183191437636432,0.18697462999123182,0.010388390066150449,0.0011149881621668489,0.009367044374715536,0.6620087350754575,0.09298329537243111,0.6061164724557573,0.01990042510874121,0.0009545203048951496,0.019027878843924633,2.4523047045176183,0.401208491851231,2.003775349326512,0
full_state_feasible_interval,3,0.00391942010325103,0.00010389176419307797,0.003832777843337806,0.22649731107628668,0.022516942416156652,0.20489606706316188,0.015821408572968956,0.005913392434268632,0.011342228043458441,1.2108650894220212,0.7106391115298039,0.6203368098225344,0.030915917586264236,0.002683143616884347,0.02832231366769944,2.8615689112665024,0.5401602392453921,2.2379184990382086,0
