trajectory_id,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_core_temperature_c,state_surface_temperature_c,state_ambient_temperature_c,state_previous_current_a,state_average_temperature_c,teacher_current_a,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,teacher_minimum_constraint_margin,active_voltage_constraint,active_temperature_constraint,active_current_upper_constraint,active_current_change_constraint,next_soc,next_core_temperature_c,next_surface_temperature_c,split
phase6r_ic_0000,0,0.10135416666666668,0.045,0.03,26.68,26.2,25.0,0.9090909090909092,26.584,2.909090909090907,1.022047799997381,True,True,False,-2.1530865979002556e-10,False,True,False,True,0.10216224747474749,26.604557085295934,26.602521086307203,test
phase6r_ic_0000,1,0.10216224747474749,0.04034992419869951,0.030499481633638952,26.604557085295934,26.602521086307203,25.0,2.909090909090907,26.604149885498188,4.90909090909091,0.7468853999962448,True,True,False,-4.416172316723532e-09,False,True,False,True,0.10352588383838385,26.661371665383417,26.65824968259957,test
phase6r_ic_0000,2,0.10352588383838385,0.041460615403538036,0.03199997091708007,26.661371665383417,26.65824968259957,25.0,4.90909090909091,26.660747268826647,6.909090909090908,0.56551120000222,True,True,False,-6.031349641943962e-09,False,True,False,True,0.10544507575757577,26.770666572722796,26.76596087202543,test
phase6r_ic_0000,3,0.10544507575757577,0.046882039787457135,0.034468759292991494,26.770666572722796,26.76596087202543,25.0,6.909090909090908,26.76972543258332,8.75604959081194,0.8445662000012817,True,True,False,-1.3151101541097887e-08,False,True,False,False,0.10787731175502352,26.94447102985324,26.937781333363553,test
phase6r_ic_0000,4,0.10787731175502352,0.055177896259939865,0.0377963603273127,26.94447102985324,26.937781333363553,25.0,8.75604959081194,26.943133090555303,8.562972234157622,0.39860739999858197,True,True,False,5.6559201766503975e-11,False,True,False,False,0.11025591515340064,27.116763668308113,27.10994877288875,test
phase6r_ic_0000,5,0.11025591515340064,0.06094247358552457,0.040917018344174584,27.116763668308113,27.10994877288875,25.0,8.562972234157622,27.11540068922424,8.38538034377898,0.442156299999624,True,True,False,-6.843947630841285e-11,False,True,False,False,0.11258518747111702,27.2867426207333,27.279837681859156,test
phase6r_ic_0000,6,0.11258518747111702,0.06484845765119265,0.04384537224071007,27.2867426207333,27.279837681859156,25.0,8.38538034377898,27.28536163295847,8.227102674729968,0.4381712000031257,True,True,False,-4.5510972768170177e-10,False,True,False,False,0.11487049376965312,27.453872815649305,27.446895692543766,test
phase6r_ic_0000,7,0.11487049376965312,0.06740800118507614,0.046597530129711344,27.453872815649305,27.446895692543766,25.0,8.227102674729968,27.452477391028197,8.152332725805987,0.1607707000002847,True,True,False,-2.3960964767866244e-08,False,True,False,False,0.11713503063793257,27.6203291977991,27.61321934011142,test
phase6r_ic_0001,0,0.1040625,0.0225,0.06,28.36,27.4,25.0,1.8181818181818183,28.168,3.8181818181818175,0.9622995999961859,True,True,False,-2.815255584209808e-09,False,True,False,True,0.10512310606060606,28.197226447408127,28.19350010624511,train
phase6r_ic_0001,1,0.10512310606060606,0.02559986630500956,0.05998163473955507,28.197226447408127,28.19350010624511,25.0,3.8181818181818175,28.196481179175525,5.81818181818181,1.0938989999995101,True,True,False,-2.9746161089860834e-10,False,True,False,True,0.10673926767676767,28.27276534005229,28.267641669159595,train
phase6r_ic_0001,2,0.10673926767676767,0.032509773575698835,0.06098119810332005,28.27276534005229,28.267641669159595,25.0,5.81818181818181,28.27174060587375,7.812582274214969,0.8272307000006549,True,True,False,-2.3595418952027103e-09,False,True,False,True,0.10890942941960516,28.41225614334864,28.405196424474873,train
phase6r_ic_0001,3,0.10890942941960516,0.0422578504412658,0.06296258034252483,28.41225614334864,28.405196424474873,25.0,7.812582274214969,28.410844199573887,7.632023037572191,0.46919460000208346,True,True,False,-6.610179070776212e-11,False,True,False,False,0.11102943581893077,28.5505298248846,28.543367799132717,train
phase6r_ic_0001,4,0.11102943581893077,0.04913784297767385,0.0647873756341589,28.5505298248846,28.543367799132717,25.0,7.632023037572191,28.549097419734224,7.473801503872927,0.48048279999784427,True,True,False,2.142996891052462e-11,False,True,False,False,0.1131054917922288,28.687016327515668,28.67978000111566,train
phase6r_ic_0001,5,0.1131054917922288,0.05392294071090872,0.06647206294688016,28.687016327515668,28.67978000111566,25.0,7.473801503872927,28.685569062235665,7.335708543332215,0.5057597999984864,True,True,False,-3.484501576167531e-11,False,True,False,False,0.11514318860982108,28.821208455817153,28.8139143586019,train
phase6r_ic_0001,6,0.11514318860982108,0.057186644529157504,0.06803145908325937,28.821208455817153,28.8139143586019,25.0,7.335708543332215,28.8197496363741,7.275164727187556,0.19174269999348326,True,True,False,-1.2699700846496853e-08,False,True,False,False,0.1171640677007065,28.95493508928598,28.9475322219545,train
phase6r_ic_0001,7,0.1171640677007065,0.059489889217941704,0.06950910449008205,28.95493508928598,28.9475322219545,25.0,7.275164727187556,28.953454515819683,7.11366703434453,0.46164029999636114,True,True,False,-1.9888801716660964e-10,False,True,False,False,0.11914008632135777,29.084157777203597,29.07676370092687,train
phase6r_ic_0002,0,0.10677083333333334,0.0675,0.009999999999999998,30.04,28.599999999999998,25.0,2.727272727272727,29.752,4.727272727272732,1.0070645999949193,True,True,False,-5.326654672899167e-10,False,True,False,True,0.10808396464646465,29.786984916270445,29.78165287236093,train
phase6r_ic_0002,1,0.10808396464646465,0.06135948694507387,0.012077838384510438,29.786984916270445,29.78165287236093,25.0,4.727272727272732,29.78591850748854,6.72727272727273,0.6234585999991396,True,True,False,-4.4430947809814825e-10,False,True,False,True,0.10995265151515152,29.869806640801777,29.863017085844326,train
phase6r_ic_0002,2,0.10995265151515152,0.06135489657131442,0.015105110614880391,29.869806640801777,29.863017085844326,25.0,6.72727272727273,29.86844872981029,7.366507350373276,0.3222978999983752,True,True,False,-6.181250000736327e-08,False,True,False,False,0.11199890355692187,29.972629007686454,29.965174407593963,train
phase6r_ic_0002,3,0.11199890355692187,0.06281860211610373,0.0183586206216743,29.972629007686454,29.965174407593963,25.0,7.366507350373276,29.971138087667956,7.257542832932191,0.31736970000201836,True,True,False,-6.229754490050254e-10,False,True,False,False,0.1140148876771808,30.073808881141368,30.066304830108884,train
phase6r_ic_0002,4,0.1140148876771808,0.06366379047720717,0.02145039377757916,30.073808881141368,30.066304830108884,25.0,7.257542832932191,30.07230807093487,7.154959916805309,0.3518517000047723,True,True,False,-1.645332758926088e-10,False,True,False,False,0.11600237654296006,30.173256329786053,30.165710401703457,train
phase6r_ic_0002,5,0.11600237654296006,0.06406079440983921,0.024388961028907828,30.173256329786053,30.165710401703457,25.0,7.154959916805309,30.171747144169537,7.098097961663195,0.11788220000016736,True,True,False,-1.0449326737216325e-08,False,True,False,False,0.11797407042119984,30.272087203356705,30.264468570305183,train
phase6r_ic_0002,6,0.11797407042119984,0.06422736227400641,0.02720258509434068,30.272087203356705,30.264468570305183,25.0,7.098097961663195,30.2705634767464,6.967522165996869,0.3193189000012353,True,True,False,-7.573319749099028e-10,False,True,False,False,0.11990949324508786,30.367813119797017,30.360194522829975,train
phase6r_ic_0002,7,0.11990949324508786,0.06405231232681206,0.02985785297498157,30.367813119797017,30.360194522829975,25.0,6.967522165996869,30.36628940040361,6.9137517395333115,0.1439345000035246,True,True,False,-9.917911825141346e-09,False,True,False,False,0.12182997983940266,30.462596478015676,30.454918273458098,train
phase6r_ic_0003,0,0.10947916666666667,0.01125,0.039999999999999994,31.72,29.799999999999997,25.0,3.6363636363636367,31.336,5.636363636363634,0.9136194000020623,True,True,False,-7.837996918169665e-11,False,True,False,True,0.11104482323232323,31.373984109064544,31.367126593295573,validation
phase6r_ic_0003,1,0.11104482323232323,0.02135458978450678,0.041559991490426544,31.373984109064544,31.367126593295573,25.0,5.636363636363634,31.372612605910753,6.526952774754551,0.5878196000048774,True,True,False,-7.244551625262829e-10,False,True,False,False,0.11285786566975504,31.43785764258736,31.43016787736219,validation
phase6r_ic_0003,2,0.11285786566975504,0.030959806018731474,0.04352202014188011,31.43785764258736,31.43016787736219,25.0,6.526952774754551,31.436319689542326,6.378116158423708,0.3291303000005428,True,True,False,7.540279511886183e-11,False,True,False,False,0.11462956460265052,31.502197318509115,31.494431252868463,validation
phase6r_ic_0003,3,0.11462956460265052,0.037805705382641566,0.04534423039977785,31.502197318509115,31.494431252868463,25.0,6.378116158423708,31.500644105380985,6.24625051771637,0.3386183000038727,True,True,False,-5.847979878126353e-10,False,True,False,False,0.11636463419090506,31.566235319021477,31.55841911111107,validation
phase6r_ic_0003,4,0.11636463419090506,0.04262578225823061,0.04703982344728031,31.566235319021477,31.55841911111107,25.0,6.24625051771637,31.564672077439397,6.1367942078063145,0.32254760000068927,True,True,False,-3.7001512964707217e-10,False,True,False,False,0.11806929924862904,31.62961212989991,31.621756654737442,validation
