run_key,controller,initialization_seed,plant,offline_test_nrmse,comparison_step_count,current_rmse_a,current_nrmse,current_maximum_absolute_error_a,reached_target_soc,final_soc,charge_time_min,charge_time_gap_fraction,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_change_a,voltage_violation_v,temperature_violation_c,current_violation_a,current_change_violation_a,mean_evaluation_time_ms,inference_speedup_over_mpc,serious_physical_violation,pass
five_state_pure__seed-22__dfn,five_state_pure,22,dfn,0.0119291982286879,603,0.3360521440491154,0.0336052144049115,1.7127981515308797,True,0.7999723881844596,50.25,0.0708782742681047,4.148672144298658,34.44304368767996,0.0,9.712798151530878,3.07854650224974,0.0,0.0,0.0,1.0785465022497402,0.0629555555555555,2607.4836749544625,True,False
five_state_pure__seed-22__reduced,five_state_pure,22,reduced,0.0119291982286879,599,0.3133101648521957,0.0313310164852195,1.7327094937715808,True,0.7996423156786061,49.91666666666666,0.0713178294573643,4.1481621955805394,34.55235601803996,0.0,9.732709493771573,3.07854650224974,0.0,0.0,0.0,1.0785465022497402,0.019537061769616,7539.190312165403,True,False
five_state_pure__seed-42__reduced,five_state_pure,42,reduced,0.0147816341669107,605,0.2298075643574219,0.0229807564357421,0.7370698513116212,True,0.7999374849399539,50.41666666666666,0.0620155038759689,4.1491770058086805,34.33163153557429,0.0,10.072118628100618,2.365991812539031,0.0,0.0,0.0721186281006183,0.3659918125390309,0.0196505785123966,7495.638193488556,True,False
five_state_pure__seed-73__reduced,five_state_pure,73,reduced,0.0110046229318833,607,0.243932799527391,0.0243932799527391,0.679445240074922,True,0.7999679057165876,50.583333333333336,0.0589147286821705,4.150050802671717,34.3524482550409,0.0,9.841899079501244,2.381646007354399,0.0,0.0,0.0,0.3816460073543988,0.047496705107084,3101.133573151745,True,False
full_state_feasible_interval__seed-22__reduced,full_state_feasible_interval,22,reduced,0.0307450091844633,590,0.2361849943298697,0.0236184994329869,0.5922411825090701,True,0.7998282694376498,49.16666666666666,0.0852713178294573,4.16599801345511,34.49272461718011,0.0,9.881930339766734,1.9989803682448224,0.0,0.0,0.0,0.0,0.0613766101694915,2399.833200545204,False,False
full_state_feasible_interval__seed-42__dfn,full_state_feasible_interval,42,dfn,0.0283223136676994,604,0.3339499689730176,0.0333949968973017,1.1341894048279402,True,0.8,50.333333333333336,0.0693374422187981,4.15638834834619,34.47998258235623,0.0,9.83747643293476,1.999006726334101,0.0,0.0,0.0,0.0,0.0853091059602649,1924.24456347321,False,False
full_state_feasible_interval__seed-42__reduced,full_state_feasible_interval,42,reduced,0.0283223136676994,601,0.2975975871323155,0.0297597587132315,0.8311737085827033,True,0.7999227713018288,50.083333333333336,0.0682170542635658,4.155317665526331,34.588373451860974,0.0,9.87319160930283,1.999006726334101,0.0,0.0,0.0,0.0,0.0773329450915141,1904.668529659152,False,False
full_state_feasible_interval__seed-73__reduced,full_state_feasible_interval,73,reduced,0.0336804299066299,597,0.22702214961446,0.0227022149614459,0.5597083767829747,True,0.7997558582328869,49.75,0.0744186046511627,4.151149090281589,34.35158771785805,0.0,9.966500858282688,1.9989828954576976,0.0,0.0,0.0,0.0,0.0631919597989949,2330.891893370409,False,False
full_state_pure__seed-22__reduced,full_state_pure,22,reduced,0.0197535119293475,605,0.2446577964518541,0.0244657796451854,0.6801835875113325,True,0.7995421476630981,50.41666666666666,0.0620155038759689,4.147262373873361,34.33144309752676,0.0,9.844746853152545,2.285176611808562,0.0,0.0,0.0,0.2851766118085619,0.0638077685950413,2308.396454928104,True,False
full_state_pure__seed-42__reduced,full_state_pure,42,reduced,0.0209198845529514,606,0.2598981917049667,0.0259898191704966,0.9941111125511356,True,0.8,50.5,0.0604651162790697,4.147555637487669,34.4298984627664,0.0,9.784462210074215,2.4225920734159976,0.0,0.0,0.0,0.4225920734159976,0.0460955445544554,3195.3983458782955,True,False
full_state_pure__seed-73__dfn,full_state_pure,73,dfn,0.0190278788439246,609,0.3032166088340304,0.030321660883403,1.176641055696285,True,0.799686516267677,50.75,0.061633281972265,4.149717805657936,34.40879133158285,0.0,9.804683990938951,2.53757746328795,0.0,0.0,0.0,0.53757746328795,0.0606128078817734,2708.265614075969,True,False
full_state_pure__seed-73__reduced,full_state_pure,73,reduced,0.0190278788439246,606,0.2829761132935763,0.0282976113293576,1.178457402175499,True,0.8,50.5,0.0604651162790697,4.148826536621757,34.50380669559636,0.0,9.876867909607968,2.53757746328795,0.0,0.0,0.0,0.53757746328795,0.046703300330033,3153.816235272513,True,False
