time_s,charge_current_a,raw_requested_current_a,soc,terminal_voltage_v,average_temperature_c,core_temperature_c,surface_temperature_c,evaluation_time_s,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,source
0.0,0.0,0.0,0.1,3.2959070147319616,25.0,25.0,25.0,0.0,True,True,False,False,phase6r_rolling_mpc_dfn
5.0,2.000000000000001,2.000000000000001,0.10055555555555556,3.3834271399269027,25.017596866556346,25.017637838253734,25.01743297976679,0.724786499995389,True,True,False,False,phase6r_rolling_mpc_dfn
10.0,3.999999999999996,3.999999999999996,0.10166666666666667,3.452241496068966,25.07632243669775,25.076497913534478,25.07562052935085,0.7626797999982955,True,True,False,False,phase6r_rolling_mpc_dfn
15.0,5.999999999999997,5.999999999999997,0.10333333333333333,3.5151350018832472,25.192186091538133,25.192603758023115,25.19051542559821,0.8626610999999684,True,True,False,False,phase6r_rolling_mpc_dfn
20.0,7.999999999999998,7.999999999999998,0.10555555555555556,3.5766293400723512,25.379215939234996,25.37999370015723,25.376104895546067,0.7319486999986111,True,True,False,False,phase6r_rolling_mpc_dfn
25.0,9.832600943448536,9.832600943448536,0.10828683359540237,3.6342784682936706,25.643745994527137,25.64497262021555,25.63883949177348,0.9331144999960088,True,True,False,False,phase6r_rolling_mpc_dfn
30.0,9.539983811040257,9.539983811040257,0.11093682909846911,3.653721620459098,25.902497825573505,25.903770215480684,25.897408265944797,0.3967525000043679,True,True,False,False,phase6r_rolling_mpc_dfn
35.0,9.27143222850002,9.27143222850002,0.11351222693971912,3.6681386084379994,26.154733335155072,26.15603726571868,26.149517612900635,0.4159889000002295,True,True,False,False,phase6r_rolling_mpc_dfn
40.0,9.038227761043382,9.038227761043382,0.11602284576223117,3.6792338154005555,26.400439792549264,26.401768784008716,26.395123826711455,0.5056840999968699,True,True,False,False,phase6r_rolling_mpc_dfn
45.0,8.831898015806456,8.831898015806456,0.11847615076662185,3.687796139912056,26.639469469939684,26.64081906497061,26.634071089815972,0.4758711999966181,True,True,False,False,phase6r_rolling_mpc_dfn
50.0,8.64604231613216,8.64604231613216,0.12087782918776967,3.6943841874012,26.871646730794794,26.873013730563734,26.86617873171902,0.45072979999531526,True,True,False,False,phase6r_rolling_mpc_dfn
55.0,8.54775414829356,8.54775414829356,0.12325220534007343,3.700671941924708,27.099807616882913,27.101205325731076,27.094216781490246,0.17849750000459608,True,True,False,False,phase6r_rolling_mpc_dfn
60.0,8.326804227789498,8.326804227789498,0.1255652065144594,3.7036147636288566,27.318345275425884,27.319743446500926,27.3127525911257,0.47323510000569513,True,True,False,False,phase6r_rolling_mpc_dfn
65.0,8.235145670597058,8.235145670597058,0.12785274697851415,3.707458979627738,27.532068797404406,27.533490787389404,27.526380837464423,0.16364859999885084,True,True,False,False,phase6r_rolling_mpc_dfn
70.0,8.037233615942737,8.037233615942737,0.13008531187183156,3.7087513595706216,27.736419181284134,27.737840027332993,27.730735797088713,0.496668600004341,True,True,False,False,phase6r_rolling_mpc_dfn
75.0,7.95161255673875,7.95161255673875,0.13229409313759233,3.7111096201826106,27.935674694737088,27.93711502082169,27.92991339039868,0.18415549999917857,True,True,False,False,phase6r_rolling_mpc_dfn
80.0,7.779641211197037,7.779641211197037,0.13445510458514706,3.7115555044314714,28.12633502459039,28.127775170507306,28.120574440922724,0.47560259999590926,True,True,False,False,phase6r_rolling_mpc_dfn
85.0,7.699486298597908,7.699486298597908,0.13659385077920203,3.7130165868897285,28.311925917018755,28.313382690841085,28.30609882172943,0.13435580000077607,True,True,False,False,phase6r_rolling_mpc_dfn
90.0,7.546049128909589,7.546049128909589,0.13868997553723247,3.7129574432828116,28.489624601391654,28.49108174477047,28.483796027876387,0.4320642000020598,True,True,False,False,phase6r_rolling_mpc_dfn
95.0,7.470925615981675,7.470925615981675,0.14076523265278296,3.7138637665401464,28.66243865464628,28.663910384732397,28.656551734301814,0.15935090000130003,True,True,False,False,phase6r_rolling_mpc_dfn
100.0,7.331944663735808,7.331944663735808,0.14280188394826512,3.7135088952674997,28.82801301392965,28.82948546530755,28.822123208418038,0.5512225999991642,True,True,False,False,phase6r_rolling_mpc_dfn
105.0,7.261476434745793,7.261476434745793,0.1448189607356945,3.714066837508399,28.988963686917486,28.990449152711694,28.983021823740664,0.17443149999598972,True,True,False,False,phase6r_rolling_mpc_dfn
110.0,7.1340363267808415,7.1340363267808415,0.14680063749313363,3.7135386908048087,29.143264856318297,29.14475119806798,29.137319489319566,0.42967160000262083,True,True,False,False,phase6r_rolling_mpc_dfn
115.0,7.06789876876747,7.06789876876747,0.14876394270668014,3.7138756948255427,29.293233212854716,29.29473128584958,29.287240920875263,0.12806780000391882,True,True,False,False,phase6r_rolling_mpc_dfn
120.0,6.950718265358264,6.950718265358264,0.15069469778039077,3.7132629071379495,29.437110527838854,29.43860963593689,29.43111409544671,0.45072509999590693,True,True,False,False,phase6r_rolling_mpc_dfn
125.0,6.888601246396003,6.888601246396003,0.1526081981266119,3.713461570159397,29.576950765830645,29.57846051942032,29.57091175147194,0.1248667000036221,True,True,False,False,phase6r_rolling_mpc_dfn
130.0,6.7799530796553595,6.7799530796553595,0.15449151842651618,3.7128090697622036,29.711184348656673,29.712695150314175,29.705141142026662,0.4538403999977163,True,True,False,False,phase6r_rolling_mpc_dfn
135.0,6.7215908855543205,6.7215908855543205,0.1563586270058368,3.7129227873251356,29.841678847336823,29.84319934860332,29.83559684227083,0.18642779999936465,True,True,False,False,phase6r_rolling_mpc_dfn
140.0,6.621059132630662,6.621059132630662,0.15819781009823425,3.7122731704040555,29.967036289750865,29.968557918935048,29.96094977301413,0.3924789000011515,True,True,False,False,phase6r_rolling_mpc_dfn
145.0,6.56617820695265,6.56617820695265,0.16002174848905443,3.712338622671999,30.08892658919723,30.090457085119404,30.08280460550852,0.11259930000232998,True,True,False,False,phase6r_rolling_mpc_dfn
150.0,6.512291634680003,6.512291634680003,0.16183071838757668,3.71243731000813,30.207471333963383,30.20901044441718,30.201314892148186,0.10571979999804171,True,True,False,False,phase6r_rolling_mpc_dfn
155.0,6.404336416051239,6.404336416051239,0.16360970072536868,3.7115421377499747,30.320885758755935,30.322422858819895,30.31473735850009,0.2761155999978655,True,True,False,False,phase6r_rolling_mpc_dfn
160.0,6.3541655355487725,6.3541655355487725,0.16537474670746555,3.711568320703014,30.43119860214364,30.432743453293767,30.425019197543122,0.10328840000147466,True,True,False,False,phase6r_rolling_mpc_dfn
165.0,6.304912271150485,6.304912271150485,0.1671261112272296,3.7116382614397745,30.53852119146086,30.540073586657414,30.532311610674636,0.10459619999892311,True,True,False,False,phase6r_rolling_mpc_dfn
170.0,6.205649031483749,6.205649031483749,0.16884990262486396,3.710788494258292,30.641244510261117,30.642794842419814,30.635043181626337,0.2771227999983239,True,True,False,False,phase6r_rolling_mpc_dfn
175.0,6.159799845421694,6.159799845421694,0.1705609581374811,3.7108111616615274,30.741197091100673,30.742754225604344,30.734968553085988,0.10746079999807989,True,True,False,False,phase6r_rolling_mpc_dfn
180.0,6.114793512715001,6.114793512715001,0.17225951189101302,3.7108819125652492,30.838477964548872,30.8400417311564,30.83222289811876,0.10326899999927264,True,True,False,False,phase6r_rolling_mpc_dfn
185.0,6.026012646932555,6.026012646932555,0.17393340429293874,3.710145939455848,30.931714008398615,30.93327616096557,30.92546539813079,0.2826679999998305,True,True,False,False,phase6r_rolling_mpc_dfn
190.0,5.984047261826809,5.984047261826809,0.1755956396434462,3.7101909639132344,31.022472636614282,31.02404079450117,31.016200005066747,0.10390770000230987,True,True,False,False,phase6r_rolling_mpc_dfn
195.0,5.942855867347095,5.942855867347095,0.1772464329399315,3.710284117003397,31.110841394753493,31.112415413854485,31.104545318349523,0.10624720000487287,True,True,False,False,phase6r_rolling_mpc_dfn
200.0,5.8635180820124635,5.8635180820124635,0.17887518796271273,3.7096711783430183,31.195651880189928,31.197224702892733,31.1893605893787,0.28219589999935124,True,True,False,False,phase6r_rolling_mpc_dfn
205.0,5.825042327329167,5.825042327329167,0.18049325527585974,3.7097525600493024,31.278243232415548,31.279821381135832,31.271930637534414,0.10241420000238577,True,True,False,False,phase6r_rolling_mpc_dfn
210.0,5.787279406643488,5.787279406643488,0.1821008328888163,3.7098802958547212,31.358692549487785,31.360275900230974,31.352359146515013,0.10285409999778494,True,True,False,False,phase6r_rolling_mpc_dfn
