state_id,trajectory_id,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,state_previous_current_a
level3_audit_000,global_226,0,0.101365234375,0.04345679012345679,0.036480000000000005,6.0641399416909625
level3_audit_001,global_071,0,0.1273046875,0.08888888888888888,0.0096,5.131195335276968
level3_audit_002,global_157,5,0.1463286172355847,0.07742028927951802,0.046462623615932896,10.0
level3_audit_003,global_233,7,0.16441295465358757,0.08128779049521462,0.13716550044520207,10.0
level3_audit_004,global_078,5,0.1845377009434726,0.08071819206059552,0.11271251667357013,10.0
level3_audit_005,global_174,4,0.20125153744533528,0.05271702098080237,0.059664176922441595,8.11661807580175
level3_audit_006,global_018,4,0.22032986111111108,0.08349627758192961,0.04038442734512854,10.0
level3_audit_007,global_215,4,0.23944314236111108,0.07203877354960378,0.14461171396678313,10.0
level3_audit_008,global_096,4,0.25719425969792675,0.0578731005987342,0.10534748862202119,10.0
level3_audit_009,global_109,3,0.27757056557742144,0.07570495441833945,0.1493629478394173,9.999999999999998
level3_audit_010,global_200,1,0.2954716388787658,0.040449340772414064,0.03684025644124419,5.790087463556851
level3_audit_011,global_044,4,0.3146908760528021,0.06924019617228658,0.01477135958202393,9.457725947521865
level3_audit_012,global_179,2,0.33218446180555555,0.06542694676199999,0.06974321312598063,10.0
level3_audit_013,global_080,2,0.35129774305555556,0.04219979691164648,0.03021855097774976,10.0
level3_audit_014,global_221,4,0.370308039510447,0.07762533450608625,0.019463608668040706,10.0
level3_audit_015,global_020,3,0.3890027636054423,0.05357596018463885,0.085017578411038,8.040816326530612
level3_audit_016,global_217,3,0.4077273179361031,0.03579315910564472,0.06173642425946217,7.574344023323615
level3_audit_017,global_239,7,0.42619781859916583,0.0787508675471339,0.05106409881910969,9.999999999999995
level3_audit_018,global_084,5,0.44616999148085906,0.07763469747744439,0.1424006381193875,9.925459419125751
level3_audit_019,global_029,1,0.4631883149092971,0.03865510384297473,0.09908980942699327,9.959183673469381
level3_audit_020,global_086,6,0.48234896027635055,0.08329481862966398,0.09954563658430296,9.699379159730956
level3_audit_021,global_122,2,0.5010245792588746,0.07216191824719091,0.07680118829018132,9.59079491649617
level3_audit_022,global_150,6,0.519053923110873,0.0684904709751363,0.1350831241285913,8.479629087092773
level3_audit_023,global_231,0,0.538240234375,0.0067901234567901226,0.04248,3.411078717201166
level3_audit_024,global_061,6,0.5553145298487582,0.06279189428195861,0.13692382924845836,7.690734041016575
level3_audit_025,global_132,7,0.574896246355447,0.06652540975796825,0.13675932386534398,7.224484509667996
level3_audit_026,global_182,2,0.5921860410086653,0.056267290480665935,0.01540628464777584,7.177842565597668
level3_audit_027,global_025,7,0.6144539401001332,0.05884587112953579,0.11617342131375741,6.498795806859768
level3_audit_028,global_229,5,0.6326251813792738,0.05074012179945795,0.11927908206736096,6.011803843057202
level3_audit_029,global_130,5,0.6554875767348038,0.04058045038822615,0.08292575278853397,5.892862212104749
level3_audit_030,global_152,1,0.6831380569579565,0.01584077861425534,0.056463537610658344,5.573567548643307
level3_audit_031,global_120,0,0.71435546875,0.0025925925925925925,0.012240000000000001,3.9358600583090375
level3_audit_032,terminal_027,3,0.7471957841542683,0.027691237504488937,0.1251676442978525,2.5673026158720993
level3_audit_033,terminal_047,0,0.7537973616137289,0.04148148148148147,0.0768,0.46647230320699706
level3_audit_034,terminal_078,10,0.7569151850270663,0.033023212931028695,0.07450464999919225,3.7191315991519613
level3_audit_035,terminal_113,12,0.7595894000451223,0.031293931311052986,0.08764874403848746,3.4964590720436726
level3_audit_036,terminal_053,18,0.7618053877052183,0.03337504794631054,0.07508877466125533,3.6039121281554527
level3_audit_037,terminal_049,3,0.7636242358467835,0.027991954581679475,0.03214068149250382,4.099594685152027
level3_audit_038,terminal_036,2,0.7652371347329564,0.015482004015176926,0.12368151490410936,2.4129129301974146
level3_audit_039,terminal_109,3,0.7668289898793085,0.030232591113936013,0.03463095752814357,3.9976282474335254
level3_audit_040,terminal_040,0,0.7680831633278732,0.0637037037037037,0.0816,2.6822157434402327
level3_audit_041,terminal_067,14,0.7692694405797187,0.02950500146016575,0.08722543463444639,3.2861491474684437
level3_audit_042,terminal_081,12,0.7703545355124002,0.03856759032330982,0.02440412650653155,3.9875377701845576
level3_audit_043,terminal_046,5,0.7714743544137418,0.02234088589939384,0.09288107187260904,3.151349376626096
level3_audit_044,terminal_036,12,0.7724921458691972,0.024082158161363627,0.1002618846785425,2.787177437517487
level3_audit_045,terminal_147,9,0.7734499363065115,0.02929775400593826,0.07956443215560884,3.291569604483887
level3_audit_046,terminal_001,5,0.7744000720644297,0.03873877169718472,0.05922500686036664,3.523219570478549
level3_audit_047,terminal_132,22,0.7752637117145955,0.03302161674471912,0.05276014077548331,3.484460735371814
level3_audit_048,terminal_064,8,0.7760704212024544,0.03143973870537079,0.0421105500005945,3.4018158061260837
level3_audit_049,terminal_068,3,0.7768452532322052,0.05184017278703631,0.02807066115374255,3.322388160478354
level3_audit_050,terminal_046,12,0.7776010281650796,0.027886838619177214,0.08378634563031202,3.147484858737743
level3_audit_051,terminal_114,8,0.7783121981488071,0.03438440741452933,0.027765160862415095,3.172063387228201
level3_audit_052,terminal_021,15,0.7789824598087591,0.03049346923805613,0.0590704575995275,3.103376703922655
level3_audit_053,global_027,3,0.7797493426011868,0.033622395154511264,0.038263381474478116,3.0247903703585775
level3_audit_054,terminal_045,7,0.780452239527981,0.03220336510709912,0.04268750446198362,2.952764663590083
level3_audit_055,terminal_061,4,0.7811287275829374,0.026774890500694995,0.007082300187564847,2.8832169015010596
level3_audit_056,terminal_105,10,0.7817568215708168,0.030114718207827774,0.048460160911230066,2.8190892319081065
level3_audit_057,terminal_088,15,0.7823798193721423,0.027457511475559995,0.03717380530204704,2.7551314653450025
level3_audit_058,terminal_030,8,0.7829511618761721,0.028824311888201865,0.030758328068118478,2.6966291279606196
level3_audit_059,terminal_089,1,0.7835761422302293,0.01075356764044246,0.006214399059232202,2.63255026611521
level3_audit_060,terminal_086,23,0.7842157449219619,0.025474901364678084,0.061093152701575226,2.567097109577598
level3_audit_061,terminal_040,20,0.7848017395666451,0.024901878233678912,0.06450003173529635,2.507011892496682
level3_audit_062,terminal_127,19,0.7853671753153698,0.024329226457836015,0.0671691420361384,2.449143320854801
level3_audit_063,terminal_148,13,0.7859592564143274,0.023018325918070064,0.07403079270255346,2.388444502995185
level3_audit_064,terminal_072,4,0.7864841200254509,0.022570634011229627,0.05954189845587381,2.30322825511834
level3_audit_065,terminal_001,21,0.7869900343909477,0.022558355959500828,0.052622271018920974,2.216737596232446
level3_audit_066,terminal_028,8,0.7874654414645698,0.025528371186047796,0.024450095302209464,2.124547292165907
