trajectory_id,split,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,state_previous_current_a,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_1_v,next_polarization_2_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,minimum_slew_margin_a,maximum_prediction_current_step_a,plan_block_00_a,plan_block_01_a,plan_block_02_a
global_000,test,0,0.4495,0.03,0.03,1.4285714285714284,3.4285714285714284,3.841689841067157,0.45045238095238094,0.03031783782980512,0.030763722809670862,7.232932169312177,0.0031349000018963125,True,True,False,-4.440892098500626e-16,-4.440892098500626e-16,2.0000000000000004,3.4285714285714284,5.428571428571429,7.428571428571429
global_000,test,1,0.45045238095238094,0.03031783782980512,0.030763722809670862,3.4285714285714284,5.428571428571428,3.88625209159558,0.45196031746031745,0.035145976745615495,0.032519819021785856,6.321304688553188,0.008157799999025883,True,True,False,0.0,0.0,2.0,5.428571428571428,7.428571428571428,8.967585518991985
global_000,test,2,0.45196031746031745,0.035145976745615495,0.032519819021785856,5.428571428571428,7.428571428571428,3.936782944398341,0.4540238095238095,0.043349135779123166,0.035235862208500134,5.636825094052974,0.013397300001088297,True,True,False,-8.881784197001252e-16,-8.881784197001252e-16,2.000000000000001,7.428571428571428,9.428571428571429,8.191267070740029
global_000,test,3,0.4540238095238095,0.043349135779123166,0.035235862208500134,7.428571428571428,9.428571428571427,3.9921146920792894,0.45664285714285713,0.05407779379322113,0.0388804854959837,5.214472061508913,0.016039500002079876,True,True,False,-2.6645352591003757e-15,8.881784197001252e-16,1.9999999999999991,9.428571428571427,9.241585245754239,7.8477158761864665
global_000,test,4,0.45664285714285713,0.05407779379322113,0.0388804854959837,9.428571428571427,10.0,4.020879334811983,0.4594206349206349,0.06341747305703166,0.04269668370873683,5.03680123011061,0.015400800002680626,True,True,False,-8.881784197001252e-16,0.6667457954587768,1.3332542045412232,10.0,9.046110496360596,7.712856291819373
global_000,test,5,0.4594206349206349,0.06341747305703166,0.04269668370873683,10.0,10.0,4.036364851217996,0.46219841269841266,0.0704062759788604,0.046388185234050874,4.9417589872733645,0.01955699999962235,True,True,False,-2.3092638912203256e-14,0.6869025239944451,1.313097476005555,10.0,8.964608649056155,7.6515111730506
global_000,test,6,0.46219841269841266,0.0704062759788604,0.046388185234050874,10.0,10.0,4.049374794594589,0.46497619047619043,0.07563593803689495,0.04995906461496352,4.847522581215093,0.018715499998506857,True,True,False,6.217248937900877e-15,0.7065041530628005,1.2934958469371995,10.0,8.883875647357256,7.590379800420056
global_000,test,7,0.46497619047619043,0.07563593803689495,0.04995906461496352,10.0,9.999999999999998,4.060504974962987,0.4677539682539682,0.07954924987973193,0.05341326325624468,4.754098605381113,0.016382800000428688,True,True,False,-1.0391687510491465e-13,0.7255689552863558,1.2744310447136442,9.999999999999998,8.803886258752483,7.529455214038839
global_001,train,0,0.27475000000000005,0.06,0.06,2.8571428571428568,4.857142857142857,3.7807972331472373,0.27609920634920637,0.056045372100975016,0.06051011709161888,16.958147680776055,0.003381200000148965,True,True,False,-8.881784197001252e-16,-8.881784197001252e-16,2.000000000000001,4.857142857142857,6.857142857142857,8.857142857142858
global_001,train,1,0.27609920634920637,0.056045372100975016,0.06051011709161888,4.857142857142857,6.857142857142857,3.8213333866162955,0.2780039682539683,0.0576764610833085,0.06202089431273161,15.545819701436146,0.002956399999675341,True,True,False,-8.881784197001252e-16,-8.881784197001252e-16,2.000000000000001,6.857142857142857,8.857142857142858,10.0
