seed,mean_current_nrmse,maximum_current_nrmse,mean_charge_time_gap_fraction,target_reach_fraction,maximum_voltage_violation_v,maximum_current_violation_a,maximum_slew_violation_a,maximum_current_step_a,mpc_time_s,dnn_time_s,speedup
22,0.0034047694353945557,0.0037618936245416923,0.008690391156323104,1.0,0.0,0.0,0.12892938058579428,2.1289293805857943,130.82811640004002,0.10310240004037041,1268.9143642515928
42,0.0030081579433713784,0.0037702757362779614,0.0060375844744846125,1.0,0.0,0.0,0.10664745440567103,2.106647454405671,130.82811640004002,0.12366650007243152,1057.9107221714364
73,0.002365382514396124,0.0029610361033780798,0.004607250085499078,1.0,0.0,0.0,0.11348626848632914,2.113486268486329,130.82811640004002,0.12637809991792892,1035.2119274225595
101,0.002280893295070741,0.0032884832132419432,0.007784165782012623,1.0,0.0,0.0,0.08777348491249892,2.087773484912499,130.82811640004002,0.12236909993589506,1069.1270628661675
137,0.0029202470256895516,0.0034020116949827323,0.0060375844744846125,1.0,0.0,0.0,0.06867302576827417,2.068673025768274,130.82811640004002,0.08624300013616448,1516.9708404564135
