trajectory_id,split,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,state_previous_current_a,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_1_v,next_polarization_2_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,minimum_slew_margin_a,maximum_prediction_current_step_a,plan_block_00_a,plan_block_01_a,plan_block_02_a
terminal_000,train,0,0.7817193000900063,0.03,0.03,1.4285714285714284,2.7447328874060184,4.143439692492105,0.7824817258920636,0.02874832458528337,0.03041587858152889,0.003045742246177508,0.06885559999864199,True,True,False,0.0,0.0,2.0,2.7447328874060184,0.7447328874060183,0.0
terminal_000,train,1,0.7824817258920636,0.02874832458528337,0.03041587858152889,2.7447328874060184,2.6688754701015367,4.1417030280100215,0.783223080189314,0.02763760218304269,0.030779582110348414,0.0027811887097956684,0.0734374999992724,True,True,False,-4.496731875747173e-10,-4.496731875747173e-10,2.000000000449673,2.6688754701015367,0.6688754696518637,0.0
terminal_000,train,2,0.783223080189314,0.02763760218304269,0.030779582110348414,2.6688754701015367,2.5949110159141453,4.1400756953772415,0.7839438888048457,0.02663669836437245,0.03109377832195728,0.002538462700077656,0.05928510000012466,True,True,False,0.0,0.0,2.0,2.5949110159141453,0.5949110159141453,0.0
terminal_000,train,3,0.7839438888048457,0.02663669836437245,0.03109377832195728,2.5949110159141453,2.5231351900437513,4.13853603287151,0.7846447596909689,0.025722994096221568,0.03136119817623274,0.002316186578235822,0.07258039999942412,True,True,False,0.0,0.0,2.0,2.5231351900437513,0.5231351900437512,2.7755575615628914e-17
terminal_000,train,4,0.7846447596909689,0.025722994096221568,0.03136119817623274,2.5231351900437513,2.453257831093084,4.137058532622173,0.7853262201996059,0.024878897783207184,0.03158433580247924,0.0021130327183787236,0.0579870999972627,True,True,False,0.0,0.0,2.0,2.453257831093084,0.45325783109308404,0.0
terminal_000,train,5,0.7853262201996059,0.024878897783207184,0.03158433580247924,2.453257831093084,2.3854721059937853,4.135632716160743,0.7859888513401597,0.024091689130864548,0.03176570208986567,0.001927770720202344,0.05252889999974286,True,True,False,0.0,0.0,2.0,2.3854721059937853,0.38547210599378534,0.0
terminal_000,train,6,0.7859888513401597,0.024091689130864548,0.03176570208986567,2.3854721059937853,2.279441586341739,4.133388102397318,0.786622029558588,0.023259271425114792,0.03188720818301013,0.0017575920513333305,0.06904629999917233,True,True,False,0.05617810783673338,0.08650549416010045,1.9134945058398996,2.279441586341739,0.3659470805018395,0.0
terminal_000,train,7,0.786622029558588,0.023259271425114792,0.03188720818301013,2.279441586341739,2.1618117555286185,4.130763141860942,0.7872225328240126,0.022366401987797664,0.03194490989650237,0.0016025780063571035,0.054112500001792796,True,True,False,0.06060581382861141,0.20657047269476791,1.793429527305232,2.1618117555286185,0.36838222822338645,0.0
terminal_000,train,8,0.7872225328240126,0.022366401987797664,0.03194490989650237,2.1618117555286185,2.0685222519361175,4.128502600427252,0.7877971223384392,0.021484161776872686,0.031953273133383024,0.001461828860998177,0.03790329999901587,True,True,False,0.06404531017037485,0.27844462205282694,1.721555377947173,2.0685222519361175,0.3469668739889445,9.920921920514569e-18
terminal_000,train,9,0.7877971223384392,0.021484161776872686,0.031953273133383024,2.0685222519361175,1.9789891764109087,4.126259111680202,0.788346841554109,0.020618496898630673,0.03191582082026194,0.001333242020088532,0.03319379999811645,True,True,False,0.0673722123510494,0.3474113584457339,1.652588641554266,1.9789891764109087,0.3264005348566425,0.0
terminal_000,train,10,0.788346841554109,0.020618496898630673,0.03191582082026194,1.9789891764109087,1.893843569435468,4.124056594330482,0.7888729092122855,0.0197753051077545,0.03183628175763894,0.0012157927326183807,0.04144149999774527,True,True,False,0.07055643317007743,0.41308454677654827,1.5869154532234517,1.893843569435468,0.3069281162120164,1.0426684913124166e-17
terminal_000,train,11,0.7888729092122855,0.0197753051077545,0.03183628175763894,1.893843569435468,1.812110435130122,4.12188501529995,0.7893762732220438,0.018956761880613918,0.031717766959540476,0.001108499407673193,0.04934739999953308,True,True,False,0.07363702789646531,0.4760943534235573,1.5239056465764427,1.812110435130122,0.28820478855367926,0.0
terminal_000,train,12,0.7893762732220438,0.018956761880613918,0.031717766959540476,1.812110435130122,1.7338714979910397,4.119752297839827,0.789857904193708,0.01816468267788127,0.031563327355975036,0.0010105077941038553,0.048802499997691484,True,True,False,0.07660796427598893,0.5364806011211081,1.463519398878892,1.7338714979910397,0.27035209911214764,0.0
