trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,split
global_000,0.4495,0.03,0.03,1.4285714285714284,test
global_001,0.27475000000000005,0.06,0.06,2.8571428571428568,train
global_002,0.6242500000000001,0.009999999999999998,0.09,4.285714285714286,train
global_003,0.187375,0.039999999999999994,0.12,5.7142857142857135,validation
global_004,0.536875,0.06999999999999999,0.006,7.142857142857143,train
global_005,0.36212500000000003,0.019999999999999997,0.036000000000000004,8.571428571428571,validation
global_006,0.7116250000000001,0.05,0.066,0.2040816326530612,validation
global_007,0.14368750000000002,0.07999999999999999,0.096,1.6326530612244896,train
global_008,0.4931875,0.003333333333333333,0.126,3.0612244897959187,train
global_009,0.31843750000000004,0.03333333333333333,0.012,4.489795918367347,train
global_010,0.6679375000000001,0.06333333333333334,0.042,5.918367346938775,validation
global_011,0.23106250000000003,0.013333333333333332,0.07200000000000001,7.346938775510204,train
global_012,0.5805625000000001,0.04333333333333333,0.102,8.775510204081632,train
global_013,0.4058125,0.07333333333333332,0.132,0.4081632653061224,train
global_014,0.7553125,0.02333333333333333,0.018,1.8367346938775508,train
global_015,0.12184375,0.05333333333333333,0.048,3.265306122448979,train
global_016,0.47134375000000006,0.08333333333333331,0.078,4.693877551020408,train
global_017,0.29659375,0.006666666666666666,0.108,6.122448979591837,train
global_018,0.20921875,0.06666666666666667,0.024,8.979591836734693,test
global_019,0.55871875,0.016666666666666666,0.054,0.6122448979591837,test
global_020,0.3839687500000001,0.04666666666666666,0.084,2.0408163265306123,train
global_021,0.16553125000000002,0.026666666666666665,0.14400000000000002,4.8979591836734695,train
global_022,0.51503125,0.056666666666666664,0.0012,6.326530612244897,train
global_023,0.34028125000000004,0.08666666666666666,0.031200000000000002,7.755102040816326,validation
global_024,0.25290625,0.031111111111111107,0.09119999999999999,0.8163265306122448,train
global_025,0.60240625,0.0611111111111111,0.1212,2.2448979591836733,train
global_026,0.42765625000000007,0.01111111111111111,0.0072,3.6734693877551017,train
global_027,0.77715625,0.041111111111111105,0.037200000000000004,5.1020408163265305,train
global_028,0.110921875,0.07111111111111111,0.0672,6.530612244897958,train
global_029,0.4604218750000001,0.02111111111111111,0.0972,7.959183673469388,train
global_030,0.285671875,0.051111111111111114,0.1272,9.387755102040815,test
global_031,0.635171875,0.0811111111111111,0.013199999999999998,1.0204081632653061,train
global_032,0.198296875,0.0044444444444444444,0.0432,2.4489795918367347,test
global_033,0.5477968750000001,0.034444444444444444,0.0732,3.877551020408163,train
global_034,0.373046875,0.06444444444444444,0.10319999999999999,5.3061224489795915,train
global_035,0.154609375,0.04444444444444444,0.0192,8.16326530612245,train
global_036,0.5041093750000001,0.07444444444444444,0.0492,9.591836734693878,validation
global_037,0.329359375,0.024444444444444442,0.0792,1.2244897959183674,train
global_038,0.678859375,0.05444444444444444,0.10919999999999999,2.6530612244897958,train
global_039,0.24198437500000003,0.08444444444444443,0.1392,4.081632653061225,train
global_040,0.5914843750000001,0.007777777777777777,0.0252,5.5102040816326525,train
global_041,0.416734375,0.03777777777777777,0.0552,6.938775510204081,train
global_042,0.132765625,0.017777777777777778,0.1152,9.795918367346939,validation
global_043,0.48226562500000003,0.047777777777777766,0.1452,0.029154518950437316,train
global_044,0.307515625,0.07777777777777777,0.0024,1.4577259475218658,train
global_045,0.657015625,0.027777777777777776,0.032400000000000005,2.886297376093294,validation
global_046,0.22014062500000003,0.057777777777777775,0.062400000000000004,4.314868804664723,train
global_047,0.569640625,0.08777777777777776,0.0924,5.743440233236151,validation
global_048,0.39489062500000005,0.0022222222222222222,0.12240000000000001,7.172011661807581,test
global_049,0.17645312500000002,0.062222222222222213,0.0384,0.23323615160349853,train
global_050,0.525953125,0.012222222222222221,0.0684,1.6618075801749268,train
global_051,0.35120312500000006,0.04222222222222222,0.0984,3.0903790087463556,train
global_052,0.263828125,0.02222222222222222,0.0144,5.947521865889213,train
global_053,0.613328125,0.052222222222222225,0.0444,7.376093294460642,train
global_054,0.43857812500000004,0.08222222222222221,0.07440000000000001,8.804664723032069,train
global_055,0.7880781250000001,0.005555555555555555,0.10439999999999999,0.43731778425655976,validation
global_056,0.1054609375,0.035555555555555556,0.1344,1.865889212827988,validation
global_057,0.4549609375,0.06555555555555556,0.0204,3.2944606413994166,train
global_058,0.28021093750000003,0.015555555555555553,0.0504,4.723032069970845,train
global_059,0.6297109375000001,0.04555555555555556,0.0804,6.151603498542274,validation
global_060,0.1928359375,0.07555555555555554,0.1104,7.580174927113703,train
global_061,0.5423359375000001,0.025555555555555554,0.1404,9.008746355685131,validation
global_062,0.3675859375,0.05555555555555555,0.026399999999999996,0.641399416909621,train
global_063,0.7170859375,0.08555555555555554,0.0564,2.0699708454810493,train
