trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,split
terminal_000,0.7817193000900063,0.03,0.03,1.4285714285714284,train
terminal_001,0.7695000000000001,0.06,0.06,2.8571428571428568,train
terminal_002,0.7910954988232819,0.009999999999999998,0.09,4.285714285714286,train
terminal_003,0.7951894464549156,0.05,0.066,0.2040816326530612,train
terminal_004,0.75475,0.07999999999999999,0.096,1.6326530612244896,train
terminal_005,0.78425,0.003333333333333333,0.126,3.0612244897959187,validation
terminal_006,0.7729820026681219,0.03333333333333333,0.012,4.489795918367347,train
terminal_007,0.7971265043565594,0.02333333333333333,0.018,1.8367346938775508,train
terminal_008,0.7504298250225016,0.05333333333333333,0.048,3.265306122448979,train
terminal_009,0.787795462650758,0.016666666666666666,0.054,0.6122448979591837,train
terminal_010,0.7776052689127468,0.04666666666666666,0.084,2.0408163265306123,train
terminal_011,0.7675947232274578,0.031111111111111107,0.09119999999999999,0.8163265306122448,train
terminal_012,0.780394538616006,0.01111111111111111,0.0072,3.6734693877551017,train
terminal_013,0.7980708080708372,0.041111111111111105,0.037200000000000004,5.1020408163265305,train
terminal_014,0.791625,0.0811111111111111,0.013199999999999998,1.0204081632653061,terminal_test
terminal_015,0.762125,0.0044444444444444444,0.0432,2.4489795918367347,validation
terminal_016,0.7872230412510672,0.034444444444444444,0.0732,3.877551020408163,validation
terminal_017,0.7737964957502993,0.024444444444444442,0.0792,1.2244897959183674,train
terminal_018,0.7894730040021829,0.007777777777777777,0.0252,5.5102040816326525,train
terminal_019,0.7721468797086125,0.07777777777777777,0.0024,1.4577259475218658,train
terminal_020,0.7926680346605035,0.027777777777777776,0.032400000000000005,2.886297376093294,train
terminal_021,0.7644601078288711,0.057777777777777775,0.062400000000000004,4.314868804664723,validation
terminal_022,0.7595124159191013,0.062222222222222213,0.0384,0.23323615160349853,train
terminal_023,0.7860568602381882,0.012222222222222221,0.0684,1.6618075801749268,train
terminal_024,0.7753692574844313,0.04222222222222222,0.0984,3.0903790087463556,train
terminal_025,0.7685632521782797,0.02222222222222222,0.0144,5.947521865889213,terminal_test
terminal_026,0.7985372477573041,0.005555555555555555,0.10439999999999999,0.43731778425655976,train
terminal_027,0.7452149125112508,0.035555555555555556,0.1344,1.865889212827988,terminal_test
terminal_028,0.7820439688005307,0.06555555555555556,0.0204,3.2944606413994166,train
terminal_029,0.7699573916170951,0.015555555555555553,0.0504,4.723032069970845,train
terminal_030,0.7765043875787555,0.05555555555555555,0.026399999999999996,0.641399416909621,train
terminal_031,0.7954352803952501,0.08555555555555554,0.0564,2.0699708454810493,train
terminal_032,0.7556447375337524,0.008888888888888889,0.0864,3.498542274052478,train
