state_id,trajectory_id,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_core_temperature_c,state_surface_temperature_c,state_ambient_temperature_c,state_previous_current_a,state_average_temperature_c,teacher_current_a,previous_plan_available,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,active_voltage,active_temperature,active_slew,active_mode,split,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,current_plan_block_00_a,current_plan_block_01_a,current_plan_block_02_a,current_plan_block_03_a,current_plan_block_04_a,current_plan_block_05_a,current_plan_block_06_a,current_plan_block_07_a,current_plan_block_08_a,current_plan_block_09_a,current_plan_block_10_a,current_plan_block_11_a
state_000,phase6r_ic_0000,3,0.1054450757575757,0.0468820397874571,0.0344687592929915,26.770666572722856,26.76596087202549,25.0,6.90909090909092,26.769725432583385,8.756128149241368,1.0,6.90909090909092,6.821553055204255,6.422091779806058,2.434583906505716,0.0,1.0,0.0,temperature,test,6.90909090909092,8.44338295464222,7.878539417963788,7.38557384301277,7.042499006893819,6.760788371711113,6.518694170151166,6.3141832285270585,6.147597605873195,6.02739632664245,6.008799048136504,6.422091779806058,8.756128149241368,7.99916980581531,7.507330805632538,7.148415840114513,6.843178491873417,6.577621752740769,6.3491621215832685,6.15606554889065,5.99862780960646,5.88522795082356,5.870165106268011,6.273777732374626
state_001,phase6r_ic_0003,4,0.1163646827819126,0.0426259444460493,0.0470399047316818,31.566240519952395,31.558424359074973,25.0,6.246177788502671,31.56467728777691,6.136767389485605,1.0,6.246177788502671,4.964351047470049,4.667844500146583,1.8858175808832884,0.0,1.0,0.0,temperature,validation,6.246177788502671,5.745032919296582,5.453544990047558,5.2179104638304965,5.013161966698885,4.834456457120945,4.679745712073201,4.548331772763618,4.440954498186902,4.364691293353763,4.360360207619382,4.667844500146583,6.136767389485605,5.690446232285365,5.4105890146024604,5.179130006505657,4.977507632661316,4.801335685064705,4.648808570414929,4.519165312537777,4.4132106678238285,4.3379749386987045,4.334240035395842,4.640533905267935
state_002,phase6r_ic_0008,0,0.1230208333333333,0.0506249999999999,0.0033333333333333,32.056,27.57142857142857,25.0,8.181818181818182,31.159085714285712,6.91103069980879,0.0,8.181818181818182,8.181818181818183,8.181818181818182,0.0,0.0,1.0,0.0,temperature,train,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,8.181818181818182,6.91103069980879,6.375272387026088,5.989140276901026,5.66947687535135,5.396342631457514,5.162677977820644,4.96455750715105,4.799463796133617,4.666309606185012,4.570283442368298,4.552053825229631,4.860199745546843
state_003,phase6r_ic_0006,6,0.1300489911669115,0.0694705101452659,0.0619484793023185,28.861104584452743,28.85371003494071,25.0,7.271874887789551,28.859625674550337,7.167961991598176,1.0,7.271874887789551,5.959349128092101,5.625145296419728,2.0212681307716025,0.0,1.0,0.0,temperature,validation,7.271874887789551,6.902286504275192,6.576924263449452,6.2929068469435085,6.04388042581761,5.826470299681248,5.63852462092199,5.478967663254162,5.348631311044836,5.255970660489989,5.250606757017948,5.625145296419728,7.167961991598176,6.807801092622965,6.496034032137439,6.223258156096627,5.983594613121842,5.7740446919975135,5.592572145647718,5.438185523637248,5.312105944479231,5.2225021156015385,5.2185030992226205,5.587801407981208
state_004,phase6r_ic_0009,5,0.1378564418884842,0.0667303520960254,0.0490015422964596,27.182750966567507,27.175829098948327,25.0,8.341318359384067,27.18136659304367,8.264600829901982,1.0,8.341318359384067,6.627426956383694,6.179572317662875,2.562368941055737,0.0,1.0,0.0,temperature,train,8.341318359384067,7.739869217572975,7.33764777216236,7.001824172473069,6.710326647261754,6.456791845635454,6.2380286371373925,6.052503578599779,5.900748275699091,5.79154323468718,5.778949418328329,6.179572317662875,8.264600829901982,7.664008421458017,7.262185485125032,6.926689896254874,6.635500470720527,6.382265225075814,6.163795882041239,5.978555904268475,5.827082363254075,5.718159809657286,5.705848952787803,6.106760537933751
state_005,phase6r_ic_0013,5,0.144562807987017,0.0500788431172256,0.075864643633232,31.328970477398496,31.321107486744253,25.0,5.87833001320226,31.327397879267647,5.8425424791216445,1.0,5.87833001320226,4.91016681001581,4.724876897394188,1.4771022258850222,0.0,1.0,0.0,temperature,train,5.87833001320226,5.55956581979043,5.3328839633786345,5.138394800458414,4.964890123697417,4.811108150782975,4.676516621603746,4.5612322872935405,4.466925160141957,4.401227787317238,4.406050095128916,4.724876897394188,5.8425424791216445,5.524182885853604,5.297676158807679,5.1033131743562,4.929931924401446,4.776270508334151,4.641795531603628,4.526624881853388,4.432429949512835,4.366845511029736,4.371786966780231,4.690743368802709
state_006,phase6r_ic_0018,1,0.1516198566029759,0.0651377069078312,0.0382440784701087,32.49814606551564,32.49000605180052,25.0,5.45648377071341,32.496518062772616,5.430086467641161,1.0,5.45648377071341,4.554639366540855,4.28755504693655,1.4505162244788217,0.0,1.0,0.0,temperature,test,5.45648377071341,5.291034646940826,5.060892683359082,4.839099658674201,4.640675540546253,4.467034992869564,4.317358864034666,4.190330520707945,4.086735206926237,4.01250392054695,4.005967546234588,4.28755504693655,5.430086467641161,5.264375251739186,5.034204469359994,4.812508152527229,4.6142151770528805,4.440709027417265,4.2911575497115,4.164248750584338,4.060764246935657,3.9866389738171057,3.9801964327570696,4.261861362453292
state_007,phase6r_ic_0019,2,0.1573298740859042,0.0404396817698743,0.0705163394375497,27.889006120085707,27.88203502999601,25.0,8.023988057009038,27.887611902067768,7.815638442323051,1.0,8.023988057009038,6.291035239527042,5.921064520542114,2.49272349239672,0.0,1.0,0.0,temperature,test,8.023988057009038,7.254527824496781,6.871749503552152,6.581854362036188,6.333100194378333,6.115632046332638,5.926482727505622,5.764752056354797,5.631669752222186,5.536337265282335,5.531264564612319,5.921064520542114,7.815638442323051,7.156364504047782,6.802638247489556,6.5212014352092655,6.276175221647326,6.06097388451103,5.873781469140644,5.714014149986815,5.583146724200334,5.490352003148234,5.4872328083614725,5.875233256915714
state_008,phase6r_ic_0022,3,0.1648734248321402,0.0606586768352613,0.0764167291452276,30.8542411420676,30.846439702921973,25.0,6.020569065126318,30.85268085423847,5.982626226895767,1.0,6.020569065126318,5.102476414074737,4.906515532230938,1.447137860282136,0.0,1.0,0.0,temperature,train,6.020569065126318,5.8081637448936,5.5608348830311165,5.354209630701448,5.1706805428965,5.007500917224258,4.864754969101109,4.7427501096526825,4.643101789400798,4.573431204844182,4.577204579793897,4.906515532230938,5.982626226895767,5.770116366187863,5.523115640250714,5.316646365577269,5.133247018566752,4.970198187726755,4.827579469678403,4.705695978832029,4.606164475782466,4.536612091573187,4.540510728819569,4.869964343231414
state_009,phase6r_ic_0022,7,0.1714541630270524,0.055996299245242,0.0783771473276628,31.17885609094811,31.171000478730367,25.0,5.854319515571865,31.17728496850456,5.81914490454774,1.0,5.854319515571865,4.9573613558734655,4.775528461056088,1.405361942220129,0.0,1.0,0.0,temperature,train,5.854319515571865,5.621125078499569,5.394280690895031,5.197320768293925,5.021544173700763,4.865420494226892,4.728859469973981,4.61189727493389,4.51595351493882,4.448957573351736,4.453129255039015,4.775528461056088,5.81914490454774,5.585965635970392,5.359335961927149,5.16252561385547,4.986887640337343,4.830898327243495,4.694464125305938,4.577624953402057,4.481802519799299,4.414927976168305,4.419226655724355,4.74175058824625
