feature_set,features,feature_count,effective_variable_feature_count,mean_conditional_variance_a2,median_conditional_variance_a2,p95_conditional_variance_a2,mean_local_standard_deviation_a,p95_local_standard_deviation_a,nearest_neighbor_label_difference_mean_a,nearest_neighbor_label_difference_p95_a,knn_leave_one_out_rmse_a,knn_leave_one_out_nrmse_percent_of_10a,mean_neighbor_distance,variance_reduction_vs_current_dnn_fraction,significant_reduction
current_dnn_5,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",5,5,0.3592296749304412,0.12483734422587953,1.53346962778102,0.5026104988270095,1.2383329618844727,0.22604664405002753,1.0207779267706103,0.409254777368937,4.09254777368937,0.8658798499907927,0.0,False
plus_previous_plan_first,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a",6,6,0.3048182715337341,0.10714029291359975,1.1851433216853886,0.4666040459148311,1.0886425807097042,0.19973790130663296,0.7960334957930167,0.3749650140583575,3.7496501405835754,0.925950537863413,0.15146689484169973,False
plus_previous_plan_mean_last,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_mean_a,previous_plan_last_a",7,7,0.24944187411495164,0.10874954114491625,0.955199984795146,0.43417183338633875,0.9773431999878056,0.21929905057339072,0.9534433277703538,0.37376859572322896,3.73768595723229,1.0065552173985672,0.3056200767287618,True
plus_previous_plan_full_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",10,10,0.2434591470526989,0.09177071307990545,0.9556226457851866,0.420473887171042,0.9775544100856288,0.21553658821404137,0.8099173553718888,0.34102320726040536,3.4102320726040536,1.1472100021644172,0.3222743997977321,True
plus_online_pre_solve_memory,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available,step_index",11,11,0.2741516633165925,0.12831320017311715,0.9666107312560699,0.460840498650783,0.9831636097208354,0.21833713503385405,0.8099173553718888,0.34337404746571004,3.4337404746571005,1.355841875037579,0.23683458675935565,True
diagnostic_post_solve_modes,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,mode_voltage_active,mode_temperature_active,mode_slew_active,target_cap_active",9,8,0.4052990616772572,0.13265366176275467,1.6978312486662543,0.5296392987852941,1.3030084737386702,0.24124904282532894,1.2821563580914686,0.4553341645909203,4.553341645909203,0.9653701960784253,-0.12824493621173283,False
