trajectory_id,source_role,risk_stratum,initial_soc,initial_v1_v,initial_v2_v,previous_current_a,dfn_initial_voltage_v,two_rc_initial_voltage_v,measured_initial_residual_v,steady_v1_for_previous_current_v,steady_v2_for_previous_current_v,v1_steady_state_deviation_v,v2_steady_state_deviation_v,initial_measurement_available
phase7cr2f_development_30c_000,development,general,0.6114990234375,0.0001371742112482,0.0206496,1.2119950020824657,3.8809111887184224,3.8995704724266584,-0.018659283708235996,0.011051326671358084,0.018867226515508165,-0.010914152460109884,0.0017823734844918358,True
phase7cr2f_development_30c_001,development,general,0.5489990234375,0.0201371742112482,0.0386496,2.640566430653894,3.860119269265639,3.9099662768367613,-0.04984700757112215,0.024077460857872934,0.04110591618842672,-0.003940286646624734,-0.0024563161884267187,True
phase7cr2f_development_30c_002,development,general,0.6739990234375,0.0401371742112482,0.0566495999999999,4.0691378592253225,4.010893952332324,4.103625777454346,-0.09273182512202194,0.03710359504438779,0.06334460586134527,0.003033579166860409,-0.006695005861345374,True
phase7cr2f_development_30c_003,development,general,0.4708740234375,0.0068038408779149,0.0746496,5.49770928779675,3.8378330237699947,3.925226460586631,-0.08739343681663625,0.050129729230902635,0.08558329553426382,-0.043325888352987736,-0.010933695534263821,True
phase7cr2f_development_30c_004,development,general,0.5958740234375,0.0268038408779149,0.0062496,6.926280716368179,3.9724482705064847,4.017742588291729,-0.04529431778524451,0.0631558634174175,0.10782198520718238,-0.03635202253950259,-0.10157238520718238,True
phase7cr2f_development_30c_005,development,general,0.5333740234375,0.0468038408779149,0.0242496,8.354852144939608,3.937247247758576,4.030165287651517,-0.092918039892941,0.07618199760393235,0.13006067488010092,-0.02937815672601745,-0.10581107488010093,True
phase7cr2f_development_30c_006,development,general,0.5021240234375,0.0334705075445816,0.0602496,1.416076634735527,3.788370347172835,3.876719490700733,-0.08834914352789802,0.012912202983717348,0.02204418218306796,0.02055830456086425,0.03820541781693204,True
phase7cr2f_development_30c_007,development,general,0.6271240234375,0.0534705075445816,0.0782496,2.844648063306954,3.9318325298950265,4.062116489612595,-0.1302839597175689,0.02593833717023219,0.04428287185598649,0.027532170374349414,0.03396672814401351,True
phase7cr2f_development_30c_008,development,high_risk,0.6458496093749999,0.0311796982167352,0.0499248,7.709287796751354,4.031317872274941,4.135415172003297,-0.10409729972835624,0.0702955521260612,0.12001112123781996,-0.039115853909325995,-0.07008632123781997,True
phase7cr2f_development_30c_009,development,high_risk,0.605224609375,0.0511796982167352,0.0679248,8.852144939608497,4.005802823376602,4.15420215854786,-0.14839933517125825,0.08071645947527309,0.13780207297615482,-0.029536761258537887,-0.06987727297615483,True
phase7cr2f_development_30c_010,development,high_risk,0.680224609375,0.0545130315500685,0.0517248,6.008329862557268,4.0501411345417715,4.161142993791532,-0.11100185924976014,0.05478571771856072,0.09353216828615835,-0.0002726861684922213,-0.041807368286158345,True
phase7cr2f_development_30c_011,development,high_risk,0.617724609375,0.0378463648834019,0.0607247999999999,6.579758433985839,3.986284853647498,4.098590090454389,-0.11230523680689064,0.05999617139316666,0.10242764415532576,-0.02214980650976476,-0.041702844155325866,True
phase7cr2f_development_30c_012,development,high_risk,0.667724609375,0.0478463648834019,0.0697248,7.15118700541441,4.051259610088676,4.183449800297933,-0.13219019020925682,0.0652066250677726,0.11132312002449318,-0.017360260184370695,-0.04159832002449318,True
phase7cr2f_development_30c_013,development,high_risk,0.642724609375,0.0578463648834019,0.0787248,7.722615576842982,4.027814173200273,4.187812212465464,-0.15999803926519096,0.07041707874237854,0.1202185958936606,-0.012570713858976644,-0.041493795893660604,True
phase7cr2f_development_30c_014,development,high_risk,0.611474609375,0.0422908093278463,0.0535248,8.865472719700126,4.011346422255433,4.137905805663972,-0.126559383408539,0.08083798609159043,0.13800954763199547,-0.03854717676374413,-0.08448474763199547,True
phase7cr2f_development_30c_015,development,high_risk,0.636474609375,0.0356241426611797,0.0715248,6.089962515618493,3.9977369156213793,4.116839468600141,-0.11910255297876127,0.055530068243504434,0.09480295055318226,-0.019905925582324735,-0.02327815055318226,True
phase7cr2f_development_30c_016,development,high_risk,0.6864746093749999,0.0456241426611796,0.0805248,6.661391087047064,4.066940336966605,4.201699178443685,-0.13475884147708062,0.06074052191811037,0.10369842642234968,-0.015116379256930774,-0.023173626422349686,True
phase7cr2f_development_30c_017,development,high_risk,0.6239746093749999,0.0556241426611796,0.0895248,7.232819658475635,4.001325878578335,4.165812941773209,-0.1644870631948736,0.06595097559271632,0.1125939022915171,-0.010326832931536717,-0.023069102291517096,True
phase7cr2f_development_30c_018,development,high_risk,0.673974609375,0.038957475994513,0.0466848,7.804248229904207,4.067976214147799,4.1721659849500865,-0.10418977080228764,0.07116142926732226,0.12148937816068453,-0.03220395327280926,-0.07480457816068453,True
phase7cr2f_development_30c_019,development,high_risk,0.6513183593749999,0.0404389574759945,0.0826848,6.171595168679716,4.016335325889517,4.150488160921838,-0.1341528350323209,0.05627441876844813,0.09607373282020616,-0.015835461292453633,-0.01338893282020616,True
phase7cr2f_development_30c_020,development,historical_neighborhood,0.6052001953124999,0.0507315957933241,0.0068208,8.713452728029988,4.004035386620595,4.089664025103394,-0.08562863848279889,0.07945182312422078,0.13564303983881318,-0.02872022733089668,-0.1288222398388132,True
phase7cr2f_development_30c_021,development,historical_neighborhood,0.6043261718749999,0.0368770004572472,0.056712,8.849229487713451,4.005005354697616,4.127660151647753,-0.12265479695013681,0.08068987552795366,0.13775668789518963,-0.04381287507070646,-0.08104468789518963,True
phase7cr2f_development_30c_022,development,historical_neighborhood,0.5309863281249999,0.0419250114311842,0.03636,9.047480216576428,3.9437593400031945,4.050036383074273,-0.10627704307107866,0.08249758394567411,0.14084287340081922,-0.04057257251448991,-0.10448287340081922,True
phase7cr2f_development_30c_023,development,historical_neighborhood,0.5977001953125,0.0551760402377685,0.0140208,8.468554768846316,3.994630995092952,4.088437756744659,-0.09380676165170687,0.07721877154938966,0.13183069303774142,-0.022042731311621162,-0.11780989303774142,True
phase7cr2f_development_30c_024,development,historical_neighborhood,0.596826171875,0.0353955189757658,0.063912,8.604331528529778,3.995637723052287,4.120662018592813,-0.12502429554052608,0.07845682395312255,0.1339443410941179,-0.043061304977356746,-0.0700323410941179,True
phase7cr2f_development_30c_025,development,historical_neighborhood,0.538486328125,0.0404435299497027,0.04356,8.802582257392755,3.947731444406836,4.057256269061963,-0.1095248246551268,0.08026453237084301,0.13703052659974746,-0.03982100242114031,-0.09347052659974746,True
phase7cr2f_development_30c_026,development,historical_neighborhood,0.6027001953125,0.0403612254229537,0.0092208,9.611411911703458,4.013017376666383,4.098173738904045,-0.08515636223766165,0.08763967889860155,0.14962164477607626,-0.04727845347564785,-0.14040084477607626,True
phase7cr2f_development_30c_027,development,historical_neighborhood,0.611826171875,0.0398399634202102,0.071112,8.359433569346105,4.005221754429877,4.142620120327287,-0.1373983658974094,0.07622377237829144,0.13013199429304617,-0.036383808958081236,-0.05901999429304618,True
phase7cr2f_development_30c_028,development,historical_neighborhood,0.527236328125,0.0448879743941472,0.05076,8.55768429820908,3.9340394645414514,4.053582757238863,-0.11954329269741182,0.07803148079601187,0.1332181797986757,-0.03314350640186467,-0.0824581797986757,True
phase7cr2f_development_30c_029,development,historical_neighborhood,0.6164501953125,0.0559167809785092,0.0104208,9.0807996668055,4.018449192006098,4.118363347978255,-0.09991415597215703,0.08280140048646747,0.14136156004042083,-0.026884619507958278,-0.13094076004042082,True
phase7cr2f_development_30c_030,development,historical_neighborhood,0.585576171875,0.0361362597165065,0.060312,9.216576426488963,3.9939954260558768,4.120777070155312,-0.12678164409943538,0.08403945289020034,0.1434752080967973,-0.04790319317369385,-0.08316320809679731,True
phase7cr2f_development_30c_031,development,historical_neighborhood,0.5572363281249999,0.0411842706904435,0.03996,9.414827155351938,3.9723211158090987,4.084282238603206,-0.11196112279410686,0.08584716130792079,0.14656139360242684,-0.04466289061747729,-0.10660139360242685,True
phase7cr2f_internal_validation_30c_000,internal_validation,general,0.61802978515625,0.0330589849108367,0.0211103999999999,2.6780508121615987,3.919801122361145,3.971249597248008,-0.05144847488686333,0.024419254466265448,0.04168943865797851,0.00863973044457125,-0.020579038657978607,True
phase7cr2f_internal_validation_30c_001,internal_validation,general,0.55552978515625,0.0530589849108367,0.0391104,4.106622240733028,3.894081936816878,3.980494245821507,-0.0864123090046287,0.037445388652780305,0.06392812833089707,0.015613596258056396,-0.024817728330897078,True
phase7cr2f_internal_validation_30c_002,internal_validation,general,0.68052978515625,0.0197256515775034,0.0571104,5.535193669304456,4.043243550266624,4.121971568942362,-0.0787280186757382,0.05047152283929515,0.08616681800381562,-0.030745871261791752,-0.029056418003815622,True
phase7cr2f_internal_validation_30c_003,internal_validation,general,0.47740478515625,0.0397256515775034,0.0751104,6.963765097875885,3.8654140991746475,3.995373290499002,-0.12995919132435452,0.06349765702581,0.10840550767673418,-0.023772005448306606,-0.03329510767673419,True
phase7cr2f_internal_validation_30c_004,internal_validation,high_risk,0.6859619140625,0.0403566529492455,0.0663552,6.021657642648896,4.056964254638622,4.168059276699879,-0.11109502206125743,0.05490724433487806,0.09373964294199898,-0.014550591385632555,-0.027384442941998974,True
phase7cr2f_internal_validation_30c_005,internal_validation,high_risk,0.6234619140625,0.0503566529492455,0.0753552,6.593086214077467,3.991827845806424,4.132173040029403,-0.14034519422297898,0.060117698009484,0.1026351188111664,-0.009761045060238498,-0.027279918811166398,True
phase7cr2f_internal_validation_30c_006,internal_validation,high_risk,0.6734619140625,0.0336899862825788,0.0843552,7.164514785506039,4.058647851248213,4.19036608320628,-0.1317182319580672,0.06532815168408995,0.11153059468033383,-0.031638165401511154,-0.027175394680333823,True
phase7cr2f_internal_validation_30c_007,internal_validation,high_risk,0.6484619140625,0.0436899862825788,0.0501552,7.73594335693461,4.034827296493885,4.15152849537381,-0.11670119887992492,0.07053860535869588,0.12042607054950123,-0.026848619076117082,-0.07027087054950124,True
phase7cr2f_internal_validation_30c_008,internal_validation,high_risk,0.6008056640625,0.0370233196159122,0.0681552,8.878800499791753,4.002416286220498,4.13610219359458,-0.13368590737408148,0.08095951270790776,0.13821702228783608,-0.043936193091995555,-0.07006182228783608,True
phase7cr2f_internal_validation_30c_009,internal_validation,high_risk,0.6258056640624999,0.0570233196159122,0.0861552,6.103290295710121,3.986921259464952,4.141702523197415,-0.15478126373246281,0.05565159485982177,0.09501042520902289,0.001371724756090431,-0.00885522520902289,True
