scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller_declared_complete,true_target_acceptable,completion_success,physical_safe,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,material_intervention_fraction,mean_filter_correction_a
nominal,nominal,0.1,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,52.083333333333336,0.7995715707365821,-0.00042842926341790655,4.140009999999975,33.500009999999996,8.317028930444819,2.0,0.032,0.025718886402505848
corner_hot_resistive_optimistic,directed_corner,0.1,30.0,0.9,1.2,1.0,0.85,1.2,1.1,0.005,-0.5,-0.005,-0.005,1.0,False,False,False,False,60.0,0.5182960632752506,-0.28170393672474947,3.9406127481061834,34.77442136550512,9.020009833003757,6.409208810900393,0.5583333333333333,1.7158237043470856
corner_cold_resistive,directed_corner,0.1,15.0,1.0,1.2,1.2,1.0,1.0,1.0,0.0,0.0,-0.005,-0.005,1.0,True,True,True,True,58.166666666666664,0.8021097004498364,0.0021097004498363825,4.170320124211069,24.13372261060894,5.907230597829782,2.0,0.1332378223495702,0.15785048756685033
corner_observer_optimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,-0.5,-0.005,-0.005,1.0,True,True,True,True,51.333333333333336,0.7960115583126364,-0.003988441687363675,4.151650258667848,30.366589876876134,8.276154315231548,2.0,0.4042207792207792,0.3045928582637919
corner_observer_pessimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.005,0.5,0.005,0.005,1.0,True,True,True,False,41.583333333333336,0.8021548727205496,0.0021548727205495943,4.145986978099198,33.356294051956965,8.253794338847555,4.848393780402061,0.2965931863727455,0.3918908829278376
lhs_000,latin_hypercube,0.12617875946400733,17.197093080890664,0.9251706122666651,1.1058862750601826,0.8497595631788353,0.9210000167555839,0.9134428748621495,1.023286497566416,-0.0019167610650933338,-0.1699547282144091,0.004126524786258933,-0.0008546257208345434,1.0,True,True,True,True,51.25,0.8022744244784181,0.00227442447841808,4.150688749650987,27.32925183859251,8.896388645952957,2.0,0.16585365853658537,0.1808456459576915
lhs_001,latin_hypercube,0.14476994276650326,22.460928663984188,1.0811353138604347,1.0660024965447432,0.9959626592611058,0.8846940905885763,1.0794193022653285,1.007714679691327,-0.00047778447428827205,-0.11384017322805468,-0.0006265000995984774,-0.0017640630404429196,1.0,True,True,True,False,54.0,0.7990228293449699,-0.000977170655030113,4.153336984105254,34.00047053070607,8.318568305935681,4.695154578007792,0.2993827160493827,0.4082603557425631
lhs_002,latin_hypercube,0.20386549241193286,28.712054372962264,1.0569376857315438,0.8055939690477061,0.8179525606438596,1.1126136728699767,0.8448054285619114,0.9524780116663104,0.0028361644023803647,0.05294829387605038,-0.0025449250853056215,0.0034021572621895308,1.0,True,True,True,False,52.916666666666664,0.7965719078718521,-0.003428092128147986,4.1284624708342585,33.74699908644432,8.024293073374249,5.719446447167812,0.46614173228346456,0.693121118224337
lhs_003,latin_hypercube,0.23140047463664554,15.674735475846893,1.0016242407810003,1.1081289270466834,1.1065329898121432,1.1273397130178622,1.1460845641746835,1.0925201836937373,0.0013145815961560217,-0.0856540979569112,-0.002677791854349131,-0.0019726419469829255,1.0,True,True,True,True,48.333333333333336,0.7998125158066347,-0.00018748419336533928,4.1551392392574575,24.734693400297648,5.820177043761314,2.0,0.14482758620689656,0.12044841351618374
lhs_004,latin_hypercube,0.2648662048659354,24.61416359309012,1.0922005136225075,0.8299152661582713,0.802528879960656,0.8707172957302043,0.9796503406775942,0.9171348082820054,-0.0037272022585634456,0.2838616969362018,-0.003072996268990007,-0.0036808200418728737,1.0,True,True,True,True,43.583333333333336,0.801170025682154,0.0011700256821539634,4.137159741990452,31.90527430257996,8.299918760048905,2.0000000000000004,0.2887189292543021,0.15939370238164305
lhs_005,latin_hypercube,0.1340854501460514,23.421210887807092,0.995996841917262,0.9246413364161465,1.0318423347625656,0.9166086866800691,0.8574901118613376,1.0701103768067626,0.0033819004844784653,0.12628179563942465,0.001984386798715613,0.004913106842356996,1.0,False,False,False,True,60.0,0.7229389475094107,-0.07706105249058937,4.0840176901576015,29.423777742487136,8.18298504738156,2.0,0.001388888888888889,0.0019418440536518508
lhs_006,latin_hypercube,0.20010796223280067,25.492845512217453,0.9907504658716133,0.8462242696075193,1.140882483497443,1.0358190519640698,1.0573497946450217,0.9800355033964893,-0.0023842940621607834,-0.37659965567273074,0.0006862226240750401,-0.003272992591680933,1.0,True,True,True,False,42.416666666666664,0.8033098233267696,0.0033098233267695454,4.142267562083367,34.21797220003563,8.320812292283385,5.5245125549003,0.4675834970530452,0.5337380202431582
lhs_007,latin_hypercube,0.18479410709899735,26.42479849223868,0.9012104664875864,0.9933638550800477,0.8092404308478457,0.9352660554268337,0.904909101222733,1.0421043582611285,-0.0018142764883305085,0.31565888576697454,0.0009865417206055627,-0.0014895457079963361,1.0,True,True,True,False,47.5,0.8006008544745757,0.0006008544745756961,4.14940954959625,33.536299819748535,8.230370280610455,7.092328588308805,0.4368421052631579,0.6890926869998424
lhs_008,latin_hypercube,0.2850743526569496,25.247844139764346,1.013193552500972,0.9681719505898942,1.1514130570941534,1.0253018806427876,0.8900724529133812,0.9226733971656388,0.0010984207459157347,-0.49678005218573323,0.0025964444747773197,-0.00013557133997184074,1.0,True,True,True,True,52.666666666666664,0.7967521401230776,-0.003247859876922443,4.137260422695687,29.486369636048234,8.289198302100907,2.0,0.3180379746835443,0.2611956753786958
lhs_009,latin_hypercube,0.2954608700331405,17.09773326519801,0.9344603649945196,0.8656171584085884,1.1686722467239665,0.9799287498108844,0.9553231346037476,0.9829224197694418,0.004631405357149408,0.33126485007997986,0.002448548021341093,-0.002452796853976159,1.0,True,True,True,True,36.833333333333336,0.7963388506717287,-0.0036611493282713292,4.136807909494912,23.396868469586128,5.54307977262323,2.0,0.1334841628959276,0.09938473992164695
