scenario_id,time_s,true_soc,estimated_soc,charge_current_a,terminal_voltage_v,true_average_temperature_c,estimated_average_temperature_c,ann_requested_current_a,safety_filtered_current_a,filter_correction_a
corner_cold_resistive,0.0,0.1,0.1,0.0,3.2959070147319616,15.0,15.0,,0.0,0.0
corner_cold_resistive,5.0,0.10055555555555556,0.10099591162280999,2.0,3.354152041405029,15.008327470487412,15.032328011800058,3.055929742359644,2.0,1.0559297423596439
corner_cold_resistive,10.0,0.10124442509096902,0.10094284190008014,2.4799303274884252,3.374116566976813,15.02207059016393,15.044694610679484,2.4799303274884252,2.4799303274884252,0.0
corner_cold_resistive,15.0,0.10187236646709072,0.10179059382934963,2.2605889540380857,3.3743326402884977,15.034433913594102,15.049231715194097,2.2605889540380857,2.2605889540380857,0.0
corner_cold_resistive,20.0,0.1025368103973466,0.10395277213638447,2.3919981489212137,3.3832586018923427,15.0488347844146,15.047747042928055,2.3919981489212137,2.3919981489212137,0.0
corner_cold_resistive,25.0,0.10321790543963605,0.10491377256945965,2.4519421522420046,3.3899139349893486,15.064510452649564,15.033699250717758,2.4519421522420046,2.4519421522420046,0.0
corner_cold_resistive,30.0,0.1039201529221694,0.10576917807581954,2.52809093712008,3.3967026128694937,15.0816164397953,15.041534984849033,2.52809093712008,2.52809093712008,0.0
corner_cold_resistive,35.0,0.10464714473386082,0.10669284206363985,2.6171705220891255,3.4036576946307457,15.100312397704931,15.117309740230805,2.6171705220891255,2.6171705220891255,0.0
corner_cold_resistive,40.0,0.10539479458397141,0.10719444042653957,2.6915394603981664,3.410069089845846,15.120425027302462,14.985228945057361,2.6915394603981664,2.6915394603981664,0.0
corner_cold_resistive,45.0,0.1061715141824133,0.10840781185997757,2.7961905543907855,3.41724134312372,15.142380416897133,15.01810217890832,2.7961905543907855,2.7961905543907855,0.0
corner_cold_resistive,50.0,0.10697472808971412,0.1094145600198923,2.8915700662829407,3.424149426327657,15.166103810657097,14.993329770436091,2.8915700662829407,2.8915700662829407,0.0
corner_cold_resistive,55.0,0.10784401338101167,0.1101973467915523,3.1294270486711664,3.435198695595154,15.193838948236962,15.02369251005443,3.1294270486711664,3.1294270486711664,0.0
corner_cold_resistive,60.0,0.10872309355249345,0.11110299654541819,3.164688617334384,3.440784918604445,15.22262442663281,14.880866367338582,3.164688617334384,3.164688617334384,0.0
corner_cold_resistive,65.0,0.10965436107498856,0.11243525619516755,3.3525630809824136,3.4505974367683545,15.254962701046539,15.031270219360426,3.3525630809824136,3.3525630809824136,0.0
