time_s,charge_current_a,terminal_voltage_v,soc,cell_temperature_c,ambient_temperature_c,discharge_capacity_ah,commanded_c_rate
0.0,7.5,3.4771119501332977,0.1,25.0,25.0,0.0,1.5
5.0,7.5,3.5256326851483006,0.10208333333333335,25.16156471641102,25.0,-0.010416666666666666,1.5
10.0,7.5,3.5546060782336695,0.10416666666666667,25.32796826816832,25.0,-0.02083333333333333,1.5
15.0,7.5,3.5774902182460644,0.10625,25.49851878340661,25.0,-0.031249999999999986,1.5
20.0,7.5,3.596589548228602,0.10833333333333334,25.67256846492768,25.0,-0.04166666666666665,1.5
25.0,7.5,3.612833885287019,0.11041666666666666,25.84946570400507,25.0,-0.05208333333333331,1.5
30.0,7.5,3.6268072123970585,0.1125,26.02856659324499,25.0,-0.06249999999999998,1.5
35.0,7.5,3.6388759763014193,0.11458333333333333,26.209251973398636,25.0,-0.07291666666666664,1.5
40.0,7.5,3.649320277935498,0.11666666666666667,26.39094970484132,25.0,-0.08333333333333329,1.5
45.0,7.5,3.6583999499849655,0.11875,26.573197619046823,25.0,-0.09374999999999993,1.5
50.0,7.5,3.6663094246716508,0.12083333333333332,26.755596388278605,25.0,-0.10416666666666659,1.5
55.0,7.5,3.6732416019471623,0.12291666666666665,26.93777211995706,25.0,-0.11458333333333325,1.5
60.0,7.5,3.6793602877060714,0.12499999999999999,27.11941721542496,25.0,-0.12499999999999992,1.5
65.0,7.5,3.684798974044367,0.12708333333333333,27.300297361077753,25.0,-0.13541666666666657,1.5
70.0,7.5,3.68966487425027,0.12916666666666665,27.48023409252488,25.0,-0.14583333333333326,1.5
75.0,7.5,3.694056214797793,0.13124999999999998,27.659087612042754,25.0,-0.1562499999999999,1.5
80.0,7.5,3.6980487598066034,0.1333333333333333,27.836747935883864,25.0,-0.16666666666666655,1.5
85.0,7.5,3.7017474237265353,0.13541666666666663,28.01311261250663,25.0,-0.17708333333333318,1.5
90.0,7.5,3.705114806029149,0.13749999999999996,28.188118601667156,25.0,-0.18749999999999983,1.5
95.0,7.5,3.7083363012227304,0.13958333333333328,28.36172412178388,25.0,-0.19791666666666646,1.5
100.0,7.5,3.711368973177558,0.14166666666666664,28.533902892042533,25.0,-0.20833333333333312,1.5
105.0,7.5,3.7142343841389236,0.14374999999999996,28.70463661981819,25.0,-0.21874999999999978,1.5
110.0,7.5,3.7169815866261184,0.1458333333333333,28.873923229521495,25.0,-0.22916666666666644,1.5
115.0,7.5,3.71963634228073,0.1479166666666666,29.04176459842631,25.0,-0.23958333333333307,1.5
120.0,7.5,3.72221319426861,0.14999999999999997,29.20817000229613,25.0,-0.24999999999999975,1.5
125.0,7.5,3.7247224422050307,0.1520833333333333,29.373151398451512,25.0,-0.2604166666666664,1.5
130.0,7.5,3.7271796154797228,0.15416666666666662,29.536727999562288,25.0,-0.27083333333333304,1.5
135.0,7.5,3.729592946655145,0.15624999999999994,29.698920177604066,25.0,-0.2812499999999997,1.5
140.0,7.5,3.7319713906660175,0.15833333333333327,29.859749639057497,25.0,-0.29166666666666635,1.5
145.0,7.5,3.7343173189003522,0.1604166666666666,30.01922360836113,25.0,-0.302083333333333,1.5
150.0,7.5,3.7366413070920794,0.16249999999999992,30.17738174423812,25.0,-0.31249999999999967,1.5
155.0,7.5,3.73894360496321,0.16458333333333325,30.334230265938515,25.0,-0.3229166666666663,1.5
160.0,7.5,3.7412301335260087,0.16666666666666657,30.489799085114328,25.0,-0.3333333333333329,1.5
165.0,7.5,3.743502333693738,0.16874999999999993,30.64410409351376,25.0,-0.3437499999999996,1.5
170.0,7.5,3.7457637193905287,0.17083333333333328,30.797171261638766,25.0,-0.3541666666666663,1.5
175.0,7.5,3.748016587048629,0.1729166666666666,30.94901756182452,25.0,-0.3645833333333329,1.5
