time_s,charge_current_a,terminal_voltage_v,soc,cell_temperature_c,ambient_temperature_c,discharge_capacity_ah,commanded_c_rate
0.0,10.0,3.5106060686775318,0.1,25.0,25.0,0.0,2.0
5.0,10.0,3.575024638432433,0.10277777777777779,25.255889694587495,25.0,-0.013888888888888888,2.0
10.0,10.0,3.6125448129831454,0.10555555555555556,25.52045654878839,25.0,-0.027777777777777773,2.0
15.0,10.0,3.641541362490083,0.10833333333333334,25.792669784004772,25.0,-0.04166666666666666,2.0
20.0,10.0,3.6651566101621995,0.11111111111111112,26.071489606634884,25.0,-0.05555555555555555,2.0
25.0,10.0,3.6846823201940495,0.1138888888888889,26.355723256731437,25.0,-0.06944444444444445,2.0
30.0,10.0,3.700886314411628,0.11666666666666667,26.644107714956817,25.0,-0.08333333333333333,2.0
35.0,10.0,3.7143937606803004,0.11944444444444445,26.935419166520546,25.0,-0.09722222222222224,2.0
40.0,10.0,3.7257370718246268,0.12222222222222223,27.22856178972887,25.0,-0.11111111111111112,2.0
45.0,10.0,3.7353822831295327,0.125,27.522609803175328,25.0,-0.125,2.0
50.0,10.0,3.7437240174512683,0.1277777777777778,27.816823214626368,25.0,-0.13888888888888892,2.0
55.0,10.0,3.7510738536385753,0.13055555555555556,28.110642379162755,25.0,-0.15277777777777782,2.0
60.0,10.0,3.757677366205372,0.13333333333333336,28.40364009686982,25.0,-0.16666666666666669,2.0
65.0,10.0,3.7637177943557436,0.13611111111111113,28.695507566600156,25.0,-0.18055555555555564,2.0
70.0,10.0,3.7693262394008453,0.13888888888888892,28.986025035869943,25.0,-0.19444444444444456,2.0
75.0,10.0,3.774597535412597,0.14166666666666672,29.27500719135594,25.0,-0.2083333333333335,2.0
80.0,10.0,3.7796079223494328,0.1444444444444445,29.56236632532898,25.0,-0.22222222222222243,2.0
85.0,10.0,3.7844031276067165,0.14722222222222228,29.848050492519917,25.0,-0.23611111111111135,2.0
90.0,10.0,3.789016148294238,0.15000000000000008,30.131940176405237,25.0,-0.2500000000000003,2.0
95.0,10.0,3.793492980010254,0.15277777777777785,30.41402132944114,25.0,-0.2638888888888892,2.0
100.0,10.0,3.797847057650725,0.1555555555555556,30.69432978461242,25.0,-0.27777777777777807,2.0
105.0,10.0,3.8020881670298596,0.15833333333333338,30.972779350419216,25.0,-0.29166666666666696,2.0
110.0,10.0,3.8062444492449172,0.16111111111111118,31.24940104443135,25.0,-0.30555555555555586,2.0
115.0,10.0,3.810318910560902,0.16388888888888897,31.52422614989598,25.0,-0.31944444444444475,2.0
120.0,10.0,3.8143130204462334,0.16666666666666674,31.7972155131838,25.0,-0.33333333333333365,2.0
125.0,10.0,3.8182444489286658,0.1694444444444445,32.06837220889656,25.0,-0.34722222222222254,2.0
130.0,10.0,3.8221154933506414,0.17222222222222228,32.33771064366414,25.0,-0.3611111111111114,2.0
135.0,10.0,3.8259261224850105,0.17500000000000004,32.605227463225276,25.0,-0.3750000000000003,2.0
140.0,10.0,3.829683722552986,0.17777777777777784,32.87092509421427,25.0,-0.3888888888888892,2.0
145.0,10.0,3.8333851243828825,0.18055555555555564,33.13480015701333,25.0,-0.40277777777777807,2.0
150.0,10.0,3.837037105047315,0.1833333333333334,33.39684882937178,25.0,-0.41666666666666696,2.0
155.0,10.0,3.840639599400177,0.18611111111111117,33.65706796452281,25.0,-0.43055555555555586,2.0
160.0,10.0,3.844191645794896,0.18888888888888894,33.91544978239256,25.0,-0.44444444444444475,2.0
165.0,10.0,3.8476971682624823,0.19166666666666676,34.171982782246175,25.0,-0.4583333333333337,2.0
170.0,10.0,3.851155042544554,0.19444444444444453,34.42665882377622,25.0,-0.47222222222222265,2.0
175.0,10.0,3.8545662166598227,0.1972222222222223,34.67946765249445,25.0,-0.48611111111111155,2.0
180.0,10.0,3.8579310643918987,0.2000000000000001,34.930394058987815,25.0,-0.5000000000000004,2.0
185.0,10.0,3.861250055662956,0.20277777777777786,35.17942829603879,25.0,-0.5138888888888893,2.0
190.0,10.0,3.8645240257487075,0.20555555555555566,35.426554543084706,25.0,-0.5277777777777782,2.0
195.0,10.0,3.8677543783509245,0.20833333333333343,35.67175555656263,25.0,-0.5416666666666672,2.0
200.0,10.0,3.8709420578734504,0.2111111111111112,35.9150186571992,25.0,-0.555555555555556,2.0
205.0,10.0,3.8740884418827792,0.21388888888888902,36.15632934801755,25.0,-0.569444444444445,2.0
210.0,10.0,3.877198676210698,0.21666666666666679,36.39567051654893,25.0,-0.5833333333333339,2.0
215.0,10.0,3.8802738200740703,0.21944444444444455,36.633027800314096,25.0,-0.5972222222222228,2.0
220.0,10.0,3.8833160554093458,0.22222222222222235,36.86838659469845,25.0,-0.6111111111111117,2.0
225.0,10.0,3.8863270150752287,0.22500000000000012,37.101734752696416,25.0,-0.6250000000000006,2.0
230.0,10.0,3.889309079052702,0.2277777777777779,37.33305678326832,25.0,-0.6388888888888895,2.0
235.0,10.0,3.8922671671576765,0.2305555555555557,37.56234271333528,25.0,-0.6527777777777785,2.0
240.0,10.0,3.895211131963297,0.23333333333333348,37.78959038177692,25.0,-0.6666666666666673,2.0
245.0,10.0,3.898142582505323,0.23611111111111124,38.01478457226489,25.0,-0.6805555555555562,2.0
250.0,10.0,3.9010606780956723,0.238888888888889,38.237921620524446,25.0,-0.6944444444444451,2.0
255.0,10.0,3.903961186145107,0.2416666666666668,38.45900231063382,25.0,-0.708333333333334,2.0
260.0,10.0,3.9068488128358565,0.24444444444444458,38.678015703803,25.0,-0.7222222222222229,2.0
265.0,10.0,3.9097399658245973,0.2472222222222224,38.89497137488081,25.0,-0.7361111111111119,2.0
270.0,10.0,3.912650427305026,0.25000000000000017,39.10987823288741,25.0,-0.7500000000000008,2.0
275.0,10.0,3.9155823343927603,0.252777777777778,39.32273066115425,25.0,-0.7638888888888897,2.0
280.0,10.0,3.9185134094307505,0.25555555555555576,39.533537308283826,25.0,-0.7777777777777787,2.0
285.0,10.0,3.9214363676638166,0.2583333333333335,39.7423029120323,25.0,-0.7916666666666676,2.0
290.0,10.0,3.9243555640492906,0.2611111111111113,39.94902917397735,25.0,-0.8055555555555565,2.0
295.0,10.0,3.9272958411808956,0.2638888888888891,40.153737773668865,25.0,-0.8194444444444455,2.0
300.0,10.0,3.930251914882909,0.2666666666666669,40.35642281591379,25.0,-0.8333333333333344,2.0
305.0,10.0,3.933220367493224,0.2694444444444447,40.55708168066701,25.0,-0.8472222222222233,2.0
310.0,10.0,3.936217414740467,0.2722222222222225,40.75575930653304,25.0,-0.8611111111111123,2.0
315.0,10.0,3.9392358879545224,0.27500000000000024,40.95243582699595,25.0,-0.8750000000000012,2.0
320.0,10.0,3.942275149617477,0.277777777777778,41.1471145944854,25.0,-0.8888888888888902,2.0
325.0,10.0,3.9453317201461697,0.28055555555555584,41.33985105286564,25.0,-0.9027777777777791,2.0
330.0,10.0,3.948407370817186,0.2833333333333336,41.53061697852087,25.0,-0.916666666666668,2.0
335.0,10.0,3.951502691629818,0.2861111111111114,41.71942696809873,25.0,-0.930555555555557,2.0
340.0,10.0,3.9546203187595106,0.2888888888888892,41.9063462408717,25.0,-0.9444444444444459,2.0
345.0,10.0,3.957758797567772,0.29166666666666696,42.091338808922444,25.0,-0.9583333333333348,2.0
350.0,10.0,3.960919656788204,0.29444444444444473,42.274423317029004,25.0,-0.9722222222222238,2.0
355.0,10.0,3.9641075512480257,0.29722222222222255,42.4556565365088,25.0,-0.9861111111111127,2.0
360.0,10.0,3.9673221408485277,0.3000000000000003,42.63503431944167,25.0,-1.0000000000000016,2.0
365.0,10.0,3.970571203090906,0.3027777777777781,42.81260055669179,25.0,-1.0138888888888904,2.0
370.0,10.0,3.973867548716614,0.3055555555555559,42.98842038956349,25.0,-1.0277777777777795,2.0
