seed,internal_test_nrmse_percent,internal_test_rmse_a,final_alpha,final_beta,bayesian_updates_completed,function_evaluations
11,4.695778767199398,0.1408725621636817,0.0030507531529838,224811244.0664628,6,6069
29,0.0384688951019003,0.0011540602922915,0.0011707806704905,125944815.22807927,6,7093
47,0.1285698518009564,0.00385707362679,0.0014807968522241,1220518664.8884733,6,6583
71,0.0049327844131859,0.0001479826911226,0.0010783013644907,764280327.0521132,6,6732
101,0.1191728458446389,0.0035751650507343,0.0022911184474979,128444710.13060486,6,6707
