trajectory_id,current_nrmse_percent,maximum_current_error_a,final_soc,target_reached
ndc_test_00,0.007576642725620181,0.0016169971528765537,0.9000027618128273,True
ndc_test_01,0.00893616885143487,0.002634740343798736,0.9000027718941397,True
ndc_test_02,0.011094857977982939,0.0027786506312175163,0.9000027734490078,True
ndc_test_03,0.006497297554348718,0.0013678442109252842,0.9000027714082157,True
ndc_test_04,0.18971256870619674,0.027936359721693282,0.9000027736490895,True
ndc_test_05,0.014487260820521805,0.0027332133255626445,0.9000027735859065,True
ndc_test_06,0.006430947763198618,0.00156335476012881,0.900002768982821,True
ndc_test_07,0.013037689471101508,0.0041562147751146306,0.9000027514957205,True
ndc_test_08,0.07319721276887489,0.023027617575639425,0.9000027735873617,True
ndc_test_09,0.1028387883826494,0.01453378346214973,0.9000027736501891,True
ndc_test_10,0.016198014930050394,0.005031890776103332,0.9000027735300622,True
ndc_test_11,0.050920883305717056,0.018103187884026983,0.9000027735549828,True
ndc_test_12,0.006807264478700364,0.0014100075693919134,0.9000027733014566,True
ndc_test_13,0.007984540982301927,0.0015352210549286482,0.9000027735684821,True
ndc_test_14,0.005623424475766005,0.001461773879453343,0.9000027730306484,True
ndc_test_15,0.22968153555788856,0.05503025250892768,0.9000027736249856,True
ndc_test_16,0.008399975619656079,0.0019772739219092728,0.9000027359731089,True
ndc_test_17,0.008611695404195265,0.0028180640199160223,0.9000027697935303,True
ndc_test_18,0.010429903718770788,0.002524344623395347,0.900002773462314,True
ndc_test_19,0.00646776722547478,0.00138156717944371,0.9000027724442484,True
ndc_test_20,0.009635272642837986,0.00278103774989491,0.9000027728314263,True
ndc_test_21,0.006681639711124969,0.0008095990394156871,0.9000027736387375,True
ndc_test_22,0.011176842719957785,0.0027162547172401297,0.9000027734589536,True
ndc_test_23,0.07333114035822103,0.011321428960229474,0.9000027736485237,True
ndc_test_24,0.018513614322058003,0.005086808571856505,0.9000027733804816,True
ndc_test_25,0.010180726370153707,0.002159757810836993,0.9000027734873387,True
ndc_test_26,0.014072858678435154,0.002204888069362587,0.9000027736458649,True
ndc_test_27,0.027379297617678974,0.00627546150050895,0.9000027736284434,True
ndc_test_28,0.012404110242412341,0.0026890180877638947,0.9000027736158392,True
ndc_test_29,0.008368619969737649,0.002528828488738366,0.9000027735075365,True
