seed,mean_current_nrmse,maximum_current_nrmse,target_reach_fraction,mpc_target_reach_fraction,mean_charge_time_gap_fraction,maximum_voltage_violation_v,maximum_current_violation_a,mpc_time_s,dnn_time_s,speedup
22,0.00166789760352122,0.0019889603635801674,1.0,1.0,0.005654400681593063,0.0,0.0,107.08193959991331,0.06408900013775565,1670.8318021773907
42,0.0034970147241908758,0.003974840218159373,1.0,1.0,0.005654400681593063,0.0,0.0,107.08193959991331,0.05900099989230512,1814.917370813556
73,0.0035161808735001553,0.00394447678960408,1.0,1.0,0.005654400681593063,0.0,0.0,107.08193959991331,0.05583149997255532,1917.9484637265844
101,0.0018421666771911195,0.002052873834575112,1.0,1.0,0.005654400681593063,0.0,0.0,107.08193959991331,0.055650200229138136,1924.1968431201763
137,0.0025190808074106058,0.0028073380111446455,1.0,1.0,0.0028217143632855136,0.0,0.0,107.08193959991331,0.05666429975826759,1889.760220398551
