seed,trajectory_id,mpc_steps,dnn_steps,signed_step_difference,discrete_arrival_time_difference_s,discrete_arrival_time_gap_fraction,mpc_cumulative_charge_ah,dnn_cumulative_charge_ah,cumulative_charge_error_ah,mpc_continuous_crossing_time_s,dnn_continuous_crossing_time_s,continuous_crossing_time_difference_s,continuous_crossing_time_gap_fraction
22,closed_00,223,224,1,5.0,0.004484304932735426,1.6954232744182285,1.6954504917825655,2.7217364336973304e-05,1114.7202579701402,1118.4392444706766,3.7189865005364027,0.003336250932865008
22,closed_01,216,217,1,5.0,0.004629629629629629,1.5913135134495906,1.591336317981973,2.280453238245883e-05,1077.2483105853041,1080.9193036687834,3.6709930834792885,0.003407750142104858
22,closed_02,208,209,1,5.0,0.004807692307692308,1.4870899485474156,1.4871174723943026,2.752384688697873e-05,1039.7199406117943,1043.4245326066675,3.704591994873226,0.0035630671781608438
22,closed_03,201,202,1,5.0,0.004975124378109453,1.3829798898145629,1.3830030540619567,2.316424739379208e-05,1002.2612222344686,1005.9158894870944,3.6546672526258135,0.0036464218823891023
22,closed_04,193,194,1,5.0,0.0051813471502590676,1.2787566432138195,1.278784159537032,2.751632321240649e-05,964.7187546217601,968.4235729259658,3.7048183042056735,0.0038403091952516582
22,closed_05,186,187,1,5.0,0.005376344086021506,1.1746466881989253,1.1746699807589376,2.3292560012322383e-05,927.2553537178187,930.9030975954767,3.6477438776579447,0.0039339151432583935
22,closed_06,178,179,1,5.0,0.0056179775280898875,1.070423325140364,1.0704515157958046,2.8190655440463175e-05,889.7181038677412,893.391242346113,3.6731384783718113,0.004128429513127938
22,closed_07,171,172,1,5.0,0.005847953216374269,0.9663192860781668,0.9663489138639128,2.9627785746000335e-05,851.9910318192724,855.2961053810443,3.3050735617719056,0.003879235154288561
22,closed_08,163,164,1,5.0,0.006134969325153374,0.8621483154830204,0.8621771148284549,2.8799345434538104e-05,812.1829199530239,815.5509264462569,3.368006493232997,0.004146857081687706
22,closed_09,154,155,1,5.0,0.006493506493506494,0.7579285011200816,0.7579633197229353,3.481860285370342e-05,769.4979414153221,772.8346554964346,3.336714081112518,0.004336222232089884
22,closed_10,145,146,1,5.0,0.006896551724137931,0.6537781021703063,0.653812437822705,3.433565239874259e-05,723.7999386937719,727.0808596285056,3.280920934733672,0.004532911318913191
22,closed_11,135,136,1,5.0,0.007407407407407408,0.5495922466996305,0.5496236075183163,3.1360818685821634e-05,674.6222993533438,678.1361837562007,3.5138844028568883,0.005208669215685735
42,closed_00,223,224,1,5.0,0.004484304932735426,1.6954232744182285,1.695445074858561,2.180044033250894e-05,1114.7202579701402,1118.626034845831,3.90577687569089,0.0035038179738503625
42,closed_01,216,217,1,5.0,0.004629629629629629,1.5913135134495906,1.5913282219272897,1.4708477699132416e-05,1077.2483105853041,1081.12221945958,3.8739088742759122,0.0035961150611330188
42,closed_02,208,209,1,5.0,0.004807692307692308,1.4870899485474156,1.487111741555018,2.1793007602299852e-05,1039.7199406117943,1043.6260333850478,3.9060927732534765,0.0037568701153841916
42,closed_03,201,202,1,5.0,0.004975124378109453,1.3829798898145629,1.3829948898977804,1.5000083217531213e-05,1002.2612222344686,1006.122152286112,3.860930051643436,0.0038522193276477094
