seed,mean_signed_step_difference,maximum_absolute_step_difference,mean_discrete_arrival_time_difference_s,mean_discrete_arrival_time_gap_fraction,mean_cumulative_charge_error_ah,mean_absolute_cumulative_charge_error_ah,mean_continuous_crossing_time_difference_s,mean_continuous_crossing_time_gap_fraction
22,1.0,1,5.0,0.005654400681593063,2.8220977898683424e-05,2.8220977898683424e-05,3.5482949137881783,0.0039966699158185725
42,1.0,1,5.0,0.005654400681593063,2.1551406285495272e-05,2.1551406285495272e-05,3.735516042200364,0.00420076491284489
73,-1.0,1,-5.0,0.005654400681593063,1.6252267548274208e-05,1.6252267548274208e-05,-5.330266197368881,0.0060707759245702654
101,-1.0,1,-5.0,0.005654400681593063,2.698429932515567e-05,2.698429932515567e-05,-5.823329509486466,0.006632178913084117
137,-0.5,1,-2.5,0.0028217143632855136,5.394707681149099e-05,6.122339735919098e-05,-4.283154004710298,0.004862610232753671
