controller,seed,trajectory_id,step_index,soc,polarization_v,current_a,terminal_voltage_v,next_soc,elapsed_s
mpc,,closed_00,0,0.4604166666666667,0.0425,10.0,3.9735860364112163,0.46319444444444446,0.014244199999666307
mpc,,closed_00,1,0.46319444444444446,0.054753907981095445,10.0,3.9881695833217616,0.46597222222222223,0.0052907999997842126
mpc,,closed_00,2,0.46597222222222223,0.06392340357972265,10.0,3.999668717849839,0.46875,0.004924100001517218
mpc,,closed_00,3,0.46875,0.07078485950569798,10.0,4.008859812705264,0.47152777777777777,0.00439850000111619
mpc,,closed_00,4,0.47152777777777777,0.07591922888487629,10.0,4.016323821013892,0.47430555555555554,0.006290599994827062
mpc,,closed_00,5,0.47430555555555554,0.07976123402288886,10.0,4.022495465081355,0.4770833333333333,0.005473400000482798
mpc,,closed_00,6,0.4770833333333333,0.08263617394060807,10.0,4.027700043928524,0.47986111111111107,0.004787400001077913
mpc,,closed_00,7,0.47986111111111107,0.08478746714131705,10.0,4.032180976058683,0.48263888888888884,0.0062111000006552786
mpc,,closed_00,8,0.48263888888888884,0.08639726163020092,10.0,4.036120409477017,0.4854166666666666,0.005252200004179031
mpc,,closed_00,9,0.4854166666666666,0.08760185721744437,10.0,4.03965464399371,0.4881944444444444,0.010386100002506282
mpc,,closed_00,10,0.4881944444444444,0.08850324589707173,10.0,4.042885671602788,0.49097222222222214,0.016191900002013426
mpc,,closed_00,11,0.49097222222222214,0.08917774741473014,10.0,4.0458898120498965,0.4937499999999999,0.014715099998284131
mpc,,closed_00,12,0.4937499999999999,0.0896824711899517,10.0,4.048724174754568,0.4965277777777777,0.01281540000491077
mpc,,closed_00,13,0.4965277777777777,0.09006015171787443,10.0,4.051431494211941,0.49930555555555545,0.012637899999390356
mpc,,closed_00,14,0.49930555555555545,0.09034276685941273,10.0,4.054043748282929,0.5020833333333332,0.009092399996006861
mpc,,closed_00,15,0.5020833333333332,0.09055424537715898,10.0,4.0567064502815615,0.504861111111111,0.00918900000397116
mpc,,closed_00,16,0.504861111111111,0.09071249296157613,10.0,4.059356449530677,0.5076388888888888,0.013250500000140164
mpc,,closed_00,17,0.5076388888888888,0.09083090828924506,10.0,4.061966616523044,0.5104166666666665,0.017148299994005356
mpc,,closed_00,18,0.5104166666666665,0.09091951747641583,10.0,4.064546977374913,0.5131944444444443,0.014669199998024851
mpc,,closed_00,19,0.5131944444444443,0.09098582298099558,10.0,4.067105034544192,0.515972222222222,0.01144159999967087
mpc,,closed_00,20,0.515972222222222,0.09103543882871917,10.0,4.069646402056614,0.5187499999999998,0.014229799999156967
mpc,,closed_00,21,0.5187499999999998,0.0910725659475147,10.0,4.072175280840108,0.5215277777777776,0.017482000002928544
mpc,,closed_00,22,0.5215277777777776,0.09110034785618501,10.0,4.074694814413477,0.5243055555555554,0.018514800001867115
mpc,,closed_00,23,0.5243055555555554,0.09112113682323672,10.0,4.0772073550452275,0.5270833333333331,0.025848199999018107
mpc,,closed_00,24,0.5270833333333331,0.09113669303127866,10.0,4.079714662917968,0.5298611111111109,0.021873400000913534
mpc,,closed_00,25,0.5298611111111109,0.091148333610055,10.0,4.082218055161443,0.5326388888888887,0.02729919999546837
mpc,,closed_00,26,0.5326388888888887,0.09115704415660225,10.0,4.084718517372688,0.5354166666666664,0.026284799998393282
mpc,,closed_00,27,0.5354166666666664,0.09116356218483862,10.0,4.087216787065623,0.5381944444444442,0.022760899999411777
mpc,,closed_00,28,0.5381944444444442,0.0911684395701852,10.0,4.089713416115668,0.540972222222222,0.018549000000348315
mpc,,closed_00,29,0.540972222222222,0.09117208927634729,10.0,4.0922088174865285,0.5437499999999997,0.015613700001267716
mpc,,closed_00,30,0.5437499999999997,0.09117482032056934,10.0,4.094703300195449,0.5465277777777775,0.016414300000178628
mpc,,closed_00,31,0.5465277777777775,0.09117686393783925,10.0,4.0971970954774175,0.5493055555555553,0.015626500004145782
mpc,,closed_00,32,0.5493055555555553,0.0911783931593407,10.0,4.099690376363617,0.552083333333333,0.023007899995718617
mpc,,closed_00,33,0.552083333333333,0.0911795374628436,10.0,4.102183272331819,0.5548611111111108,0.024813200005155522
mpc,,closed_00,34,0.5548611111111108,0.09118039373546696,10.0,4.1046758802691405,0.5576388888888886,0.024040700001933146
mpc,,closed_00,35,0.5576388888888886,0.09118103447702167,10.0,4.107168272675394,0.5604166666666663,0.02419989999907557
mpc,,closed_00,36,0.5604166666666663,0.09118151393850243,10.0,4.109660503801573,0.5631944444444441,0.02579859999968903
mpc,,closed_00,37,0.5631944444444441,0.09118187271546929,10.0,4.1121526142432385,0.5659722222222219,0.028870399997686036
mpc,,closed_00,38,0.5659722222222219,0.09118214118523613,10.0,4.1146446343777034,0.5687499999999996,0.020445699999982025
mpc,,closed_00,39,0.5687499999999996,0.09118234207888973,9.999999999999996,4.117136586936056,0.5715277777777774,0.017440600000554696
mpc,,closed_00,40,0.5715277777777774,0.09118249240590992,10.0,4.119628488927774,0.5743055555555552,0.015269199997419491
mpc,,closed_00,41,0.5743055555555552,0.09118260489434643,9.999999999999998,4.122120353080909,0.577083333333333,0.015470399994228501
mpc,,closed_00,42,0.577083333333333,0.09118268906849113,9.999999999999995,4.124612188919753,0.5798611111111107,0.014617200002248865
mpc,,closed_00,43,0.5798611111111107,0.09118275205529097,9.999999999999998,4.127104003571251,0.5826388888888885,0.014796499999647494
mpc,,closed_00,44,0.5826388888888885,0.09118279918778004,9.999999999999998,4.1295958023684385,0.5854166666666663,0.01612100000056671
mpc,,closed_00,45,0.5854166666666663,0.09118283445662258,10.0,4.13208758930198,0.588194444444444,0.024718200002098456
mpc,,closed_00,46,0.588194444444444,0.09118286084799887,9.999999999999996,4.134579367358055,0.5909722222222218,0.022717200001352467
mpc,,closed_00,47,0.5909722222222218,0.0911828805964423,9.999999999999998,4.137071138771196,0.5937499999999996,0.018403699999907985
mpc,,closed_00,48,0.5937499999999996,0.09118289537403533,10.0,4.139562905213488,0.5965277777777773,0.022044999997888226
mpc,,closed_00,49,0.5965277777777773,0.0911829064319831,9.970591870905098,4.141427069692133,0.5992973866308066,0.02238500000385102
mpc,,closed_00,50,0.5992973866308066,0.09111541858673322,9.888919730042339,4.142101042352634,0.6020443087780405,0.02243899999302812
mpc,,closed_00,51,0.6020443087780405,0.09087746804407423,9.807930827408462,4.142959126186957,0.6047687340078762,0.02284920000238344
